"","test.return_factor","flat","down","up"
"385","down",0,1,0
"386","down",0,1,0
"387","up",0,0,1
"388","down",0,1,0
"389","down",0,1,0
"390","down",0,1,0
"391","down",0,1,0
"392","up",0,0,1
"393","up",0,0,1
"394","up",0,0,1
"395","flat",1,0,0
"396","up",0,0,1
"397","down",0,1,0
"398","up",0,0,1
"399","up",0,0,1
"400","down",0,1,0
"401","flat",1,0,0
"402","flat",1,0,0
"403","flat",1,0,0
"404","flat",1,0,0
"405","flat",1,0,0
"406","up",0,0,1
"407","flat",1,0,0
"408","down",0,1,0
"409","flat",1,0,0
"410","up",0,0,1
"411","flat",1,0,0
"412","up",0,0,1
"413","flat",1,0,0
"414","up",0,0,1
"415","up",0,0,1
"416","flat",1,0,0
"417","up",0,0,1
"418","flat",1,0,0
"419","down",0,1,0
"420","flat",1,0,0
"421","flat",1,0,0
"422","flat",1,0,0
"423","up",0,0,1
"424","flat",1,0,0
"425","flat",1,0,0
"426","down",0,1,0
"427","flat",1,0,0
"428","flat",1,0,0
"429","up",0,0,1
"430","flat",1,0,0
"431","up",0,0,1
"432","flat",1,0,0
"433","flat",1,0,0
"434","flat",1,0,0
"435","flat",1,0,0
"436","down",0,1,0
"437","flat",1,0,0
"438","flat",1,0,0
"439","flat",1,0,0
"440","down",0,1,0
"441","flat",1,0,0
"442","flat",1,0,0
"443","flat",1,0,0
"444","down",0,1,0
"445","up",0,0,1
"446","flat",1,0,0
"447","flat",1,0,0
"448","flat",1,0,0
"449","down",0,1,0
"450","down",0,1,0
"451","flat",1,0,0
"452","flat",1,0,0
"453","flat",1,0,0
"454","up",0,0,1
"455","flat",1,0,0
"456","down",0,1,0
"457","up",0,0,1
"458","flat",1,0,0
"459","flat",1,0,0
"460","flat",1,0,0
"461","flat",1,0,0
"462","down",0,1,0
"463","up",0,0,1
"464","down",0,1,0
"465","flat",1,0,0
"466","flat",1,0,0
"467","down",0,1,0
"468","flat",1,0,0
"469","down",0,1,0
"470","up",0,0,1
"471","flat",1,0,0
"472","up",0,0,1
"473","flat",1,0,0
"474","flat",1,0,0
"475","up",0,0,1
"476","flat",1,0,0
"477","down",0,1,0
"478","down",0,1,0
"479","flat",1,0,0
"480","down",0,1,0
"481","down",0,1,0
"482","flat",1,0,0
"483","flat",1,0,0
"484","up",0,0,1
"485","up",0,0,1
"486","flat",1,0,0
"487","down",0,1,0
"488","flat",1,0,0
"489","up",0,0,1
"490","flat",1,0,0
"491","up",0,0,1
"492","up",0,0,1
"493","flat",1,0,0
"494","down",0,1,0
"495","flat",1,0,0
"496","up",0,0,1
"497","down",0,1,0
"498","flat",1,0,0
"499","up",0,0,1
"500","up",0,0,1
"501","down",0,1,0
"502","up",0,0,1
"503","flat",1,0,0
"504","up",0,0,1
"505","flat",1,0,0
"506","flat",1,0,0
"507","up",0,0,1
"508","up",0,0,1
"509","up",0,0,1
"510","up",0,0,1
"511","flat",1,0,0
"512","up",0,0,1
"513","up",0,0,1
"514","flat",1,0,0
"515","flat",1,0,0
"516","flat",1,0,0
"517","down",0,1,0
"518","up",0,0,1
"519","up",0,0,1
"520","up",0,0,1
"521","flat",1,0,0
"522","down",0,1,0
"523","down",0,1,0
"524","down",0,1,0
"525","flat",1,0,0
"526","flat",1,0,0
"527","flat",1,0,0
"528","up",0,0,1
"529","up",0,0,1
"530","up",0,0,1
"531","up",0,0,1
"532","up",0,0,1
"533","flat",1,0,0
"534","down",0,1,0
"535","flat",1,0,0
"536","flat",1,0,0
"537","down",0,1,0
"538","flat",1,0,0
"539","flat",1,0,0
"540","flat",1,0,0
"541","down",0,1,0
"542","flat",1,0,0
"543","up",0,0,1
"544","down",0,1,0
"545","flat",1,0,0
"546","flat",1,0,0
"547","flat",1,0,0
"548","flat",1,0,0
"549","flat",1,0,0
"550","down",0,1,0
"551","flat",1,0,0
"552","down",0,1,0
"553","flat",1,0,0
"554","flat",1,0,0
"555","flat",1,0,0
"556","down",0,1,0
"557","up",0,0,1
"558","flat",1,0,0
"559","up",0,0,1
"560","flat",1,0,0
"561","flat",1,0,0
"562","down",0,1,0
"563","up",0,0,1
"564","flat",1,0,0
"565","down",0,1,0
"566","up",0,0,1
"567","flat",1,0,0
"568","flat",1,0,0
"569","down",0,1,0
"570","down",0,1,0
"571","flat",1,0,0
"572","down",0,1,0
"573","down",0,1,0
"574","up",0,0,1
"575","down",0,1,0
"576","down",0,1,0
"577","down",0,1,0
"578","flat",1,0,0
"579","flat",1,0,0
"580","up",0,0,1
"581","flat",1,0,0
"582","flat",1,0,0
"583","flat",1,0,0
"584","flat",1,0,0
"585","flat",1,0,0
"586","flat",1,0,0
"587","up",0,0,1
"588","down",0,1,0
"589","up",0,0,1
"590","down",0,1,0
"591","flat",1,0,0
"592","flat",1,0,0
"593","down",0,1,0
"594","down",0,1,0
"595","flat",1,0,0
"596","down",0,1,0
"597","flat",1,0,0
"598","up",0,0,1
"599","down",0,1,0
"600","flat",1,0,0
"601","down",0,1,0
"602","flat",1,0,0
"603","flat",1,0,0
"604","flat",1,0,0
"605","flat",1,0,0
"606","flat",1,0,0
"607","flat",1,0,0
"608","down",0,1,0
"609","flat",1,0,0
"610","flat",1,0,0
"611","down",0,1,0
"612","down",0,1,0
"613","flat",1,0,0
