,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
FDC,0.35652637,0.17144,,,1.0,1.483,,10.0,3.837,,7.0,25.72,1.033,1534291200,287.078,0.8,0.843,2996999936,0.35094002,14.778,5.186,44290240512,USD,,536922793,1.67,15.401197,999000000,22000.0,,,0.63817,5007000000,0.01208,0.99321,Business Services,,,1514678400,,,,1,86400,,,1530316800,1686000000,1577750400,32,2184000000,0.22728,10.0,1.41,2,6.7031536,,0.19742,0.19742,0.14,buy,1.7,0.03031,0.33883998,0.103,9.257,,Industrials,10.0,554515008,0.033800002,31565234,1531440000,35428599,0.0659,3.94,35.0,21.0,27.25,27.5,,,544000000,0.583,18616999936,8540000256,1.782,,
FDS,0.42713475,0.17144,,,2.0,0.98988,,4.0,13.947,,5.0,229.39,2.172,1534291200,107.361,0.151,0.143,431848000,0.32446998,20.808,6.752,8986009600,USD,,37708273,9.6,23.89479,298935488,9197.0,,,0.51553,660899000,0.02104,0.93574995,Capital Markets,,,1504137600,1107734400,3/2,,1,86400,,,1527724800,257814000,1567209600,11,379556992,0.28136998,4.0,2.28,2,16.447266,,0.19371,0.19371,1.966,hold,3.2,0.16928,0.48512,0.089,34.156,,Financial Services,6.0,38358400,0.0557,2135441,1531440000,2609189,0.0558,8.15,214.0,184.0,196.0,194.0,,,243546000,6.349,574739008,1330925056,6.519,,
FDX,0.14736104,0.17144,,,2.0,1.560926,,5.0,73.013,,6.0,243.95,1.386,1534291200,85.419,0.108,0.105,8343000064,0.12747,9.461,1.206,78934294528,USD,,245339598,20.02,12.185314,-497750016,293000.0,,,0.27173,17785000000,0.07597,0.74565005,Integrated Shipping & Logistics,,,1527724800,926035200,2/1,,1,86400,,,1527724800,4566000128,1590883200,25,4673999872,0.08018,4.0,1.07,2,3.3411858,,0.06985,0.06985,1.22,buy,1.9,0.06503,0.25766,0.101,245.131,,Industrials,4.0,264439008,0.0156,4129380,1531440000,4553086,0.016900001,3.01,315.0,209.0,286.24,290.0,,,3264999936,12.278,16584999936,65450000384,16.79,,
FE,0.15299213,0.17144,,,1.0,0.265985,,1.0,15.784,,10.0,37.38,0.466,1534291200,250.123,-0.28,0.718,4243000064,0.3068,8.798,2.699,37330485248,USD,,454493284,2.48,15.072581,135375008,15617.0,,,0.6992,9132000000,0.05526,0.0,Utilities - Diversified,,,1514678400,1049414400,3/1,,1,86400,,,1530316800,-2060000000,1577750400,15,2038000000,0.19233999,9.0,-2.25,2,2.368221,,-0.03145,-0.03145,0.346,buy,2.1,0.0404,-0.25052,0.033,30.0,,Utilities,10.0,486022016,0.061300002,29784137,1531440000,32826506,0.0866,7.87,43.0,34.0,38.83,39.0,,,256000000,0.527,19256999936,13829999616,-1.603,,
FEYE,0.09939563,0.17144,,,1.0,0.883596,,8.0,3.446,,10.0,16.6,2.035,1534291200,142.248,,,-144895008,-0.18663,-20.807,3.883,3014893824,USD,,186412263,0.16,103.75001,103877752,2960.0,,,0.65151,482199000,0.02296,0.71742994,Software - Application,,,1514678400,,,,1,86400,,,1530316800,-302824000,1577750400,21,10962000,-0.29939,8.0,4.23,2,4.817179,,-0.39005002,-0.39005002,1.878,buy,2.3,-0.05929,-0.41688,0.057,4.206,,Technology,5.0,191654000,0.098000005,19102164,1531440000,16402362,0.1017,6.84,22.0,8.0,19.05,20.0,,,1075345024,5.611,939446976,776371008,-1.641,,
FFIV,0.5924771,0.17144,,,1.0,0.705267,,2.0,20.816,,9.0,189.12,1.556,1534291200,,0.309,0.257,650211008,0.30431,15.994,4.867,10399215616,USD,,60657154,10.43,18.132309,634941632,4378.0,,,0.83218,1736556000,0.00233,1.00843,Software - Infrastructure,,,1506729600,1187654400,2/1,,1,86400,,,1530316800,456551008,1569801600,14,769827968,0.28052,5.0,2.27,2,9.085319,,0.21367,0.21367,1.464,hold,2.7,0.15045999,0.36958998,0.047,34.509,,Technology,5.0,60818300,0.0793,4821185,1531440000,4106542,0.087299995,7.1,200.0,110.0,170.21,175.5,,,1084499968,17.832,0,2136696064,7.298,,
FGEN,0.24081635,0.17144,,,2.0,2.494245,,7.0,5.886,,9.0,61.15,7.952,1534291200,22.233,,,-121382000,-0.85580003,-37.809,32.357,4589298688,USD,,75553452,-1.31,-46.679394,-52260624,423.0,,,-0.49411,125668000,0.11111,0.67208,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-128498000,1577750400,5,-86547000,-0.89888,8.0,,2,10.389059,,-0.90597,-0.90597,7.918,buy,1.8,-0.11282,-0.33631,0.452,1.746,,Healthcare,8.0,84333400,0.0398,3354908,1531440000,3783589,0.0429,7.11,80.0,55.0,71.0,74.0,,,671897024,7.967,114454000,141834000,-1.582,,
FIS,0.16634178,0.17144,,,1.0,0.874829,,9.0,31.538,,7.0,108.17,1.379,1534291200,84.332,0.524,0.525,2558000128,0.28777,17.095,4.919,43727986688,USD,,326338078,5.85,18.490599,2292000000,52000.0,,,0.32523,2942000000,0.00691,0.90142995,Business Services,,,1514678400,,,,1,86400,,,1530316800,1444000000,1577750400,16,2036000000,0.1899,6.0,1.54,2,3.4298306,,0.16245002,0.16245002,0.947,buy,1.8,0.0432,0.14375,-0.067,26.936,,Industrials,2.0,328820992,0.0134000005,4395507,1531440000,3636118,0.0136,3.06,131.0,100.0,117.44,117.0,,,683000000,2.077,8892000256,8888999936,4.298,,
FIT,0.028862476,0.17144,,,2.0,1.68006,,8.0,2.771,,9.0,6.02,1.892,1534291200,,,,-141110000,-0.09342,-6.424,0.6,906490688,USD,,199271425,-0.24,-25.083334,-10469500,1750.0,,,0.43462002,690901000,0.057290003,0.66963995,Scientific & Technical Instruments,,,1514678400,,,,1,86400,,,1530316800,-358017984,1577750400,12,3796000,-0.12726,10.0,-1.41,2,2.1725008,,-0.23702,-0.23702,1.543,hold,3.0,-0.0863,-0.44632,-0.153,6.34,,Technology,10.0,214090000,0.16530001,40557150,1531440000,35420209,0.1996,7.2,10.0,4.0,6.35,6.0,,,580462976,2.366,0,1510487040,-1.503,,
FITB,0.10867095,0.17144,,,1.0,1.282441,,7.0,21.973,,1.0,29.43,,1534291200,,0.778,0.597,,0.0,,4.775,35184738304,USD,,666929669,2.73,10.78022,,18163.0,,,0.0,6602000000,0.00154,0.86393,Banks - Regional - US,,,1514678400,963792000,3/2,,1,86400,,,1530316800,2707000064,1577750400,24,2144999936,0.47204,6.0,1.96,2,1.3393711,,0.38165,0.38165,,hold,2.9,0.019960001,0.172,0.213,10.536,,Financial Services,9.0,666339968,0.028900001,19230580,1531440000,16127693,0.031400003,2.95,37.0,27.0,32.92,32.5,,,3276999936,4.905,17539999744,7368000000,3.801,,
