,Underlying,quarter,timestamp,industry,sector,earnBeatsBefore,earnMissBefore,PostEarningsReturn,1Year,6month,3month,1month,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
857,JBL,11/30/2017,3/16/2018,Contract Manufacturers,Technology,1,0,0.096298874,0.055967383,-0.081560284,0.002463054,0.090317643,0.964499425,2.919291324,142.8908254,0.786558664,0.084773152,0.033253839,0.033253839,0.009093915,0.033253839,0.374805344,0.080907108,0.856148339,-0.114164893,up
892,KMX,11/30/2017,4/4/2018,Auto & Truck Dealerships,Consumer Cyclical,1,0,0.045162129,0.012495778,-0.20907532,-0.06502417,-0.008269931,2.333085322,0.375370901,7.913183877,0.81032018,0.154761708,0.066709346,0.066709346,0.039437942,0.066709346,-1.331845527,-0.003851845,0.352770306,2.435070111,up
872,KBH,11/30/2017,3/23/2018,Residential Construction,Consumer Cyclical,1,0,0.023304687,0.509157509,0.392563979,-0.060280222,-0.044716794,3.708322273,0.622107595,68.5401761,0.638999764,0.172100374,0.076727293,0.076727293,0.043888074,0.076727293,0.294371252,0.019824054,0.795152167,0.006136431,flat
914,LEN,11/30/2017,10/3/2017,Residential Construction,Consumer Cyclical,1,0,0.046786752,0.247520076,0.037517187,0.004946728,0.020479134,6.755921593,0.264065309,23.60044808,0.547830962,0.215031477,0.108764559,0.108764559,0.076396392,0.108764559,-0.202352257,0.021463132,0.073096141,-0.122564988,up
1606,WBA,11/30/2017,10/25/2017,Pharmaceutical Retailers,Consumer Defensive,1,0,0.030298695,-0.190350138,-0.216829609,-0.144763599,-0.14908953,1.065023993,0.675271244,79.031477,0.57166447,0.243457494,0.066038675,0.066038675,0.026601214,0.066038675,-2.711905483,0.023029018,-0.144638404,0.085402185,flat
605,FDX,11/30/2017,3/21/2018,Integrated Shipping & Logistics,Industrials,0,1,-0.01185619,0.310604879,0.171610564,0.049739638,0.045688439,1.633119384,0.468768805,191.0302674,0.663262411,0.270510558,0.080342551,0.080342551,0.038961888,0.080342551,-0.133028832,-0.016497617,0.367449664,-0.279661017,flat
41,ACN,11/30/2017,3/22/2018,Information Technology Services,Technology,1,0,-0.07561405,0.299983954,0.185209568,0.067954126,0.00978437,1.231366597,1.097748952,274.6590536,0.572047286,0.315484836,0.141701415,0.141701415,0.101907899,0.141701415,0.180440335,0.00961872,0.334516592,0.194147739,down
1073,NKE,11/30/2017,3/23/2018,Footwear & Accessories,Consumer Cyclical,1,0,0.003254555,0.194732938,0.202763256,0.002801993,-0.040369432,2.673712021,0.504961227,155.7789416,0.492832072,0.436824697,0.121940463,0.121940463,0.104740904,0.121940463,-0.115733958,0.017847949,-0.029473684,-0.944347826,flat
320,CCL,11/30/2017,3/22/2018,Leisure,Consumer Cyclical,1,0,-0.012907278,0.160408375,0.028212205,0.006906907,-0.036217304,0.208432677,0.329678967,21.44333636,0.405260438,0.508794198,0.325113327,0.325113327,0.240979148,0.325113327,-0.220858896,-0.051423714,0.311512415,0.049689441,flat
1041,MU,11/30/2017,3/23/2018,Semiconductor Memory,Technology,1,0,-0.083315198,1.260936301,0.638031693,0.339699864,0.331525424,2.326237162,0.28757854,221.5094493,0.449003849,0.508797654,0.403551645,0.403551645,0.385793418,0.403551645,0.204541006,0.012038321,-0.035050676,0.071495473,down
1396,STZ,11/30/2017,10/5/2017,Beverages - Wineries & Distilleries,Consumer Defensive,1,0,0.03932968,0.213023817,0.246468401,0.038294798,-0.00661663,1.614066986,0.263619278,164.8934996,0.590836526,0.509426721,0.339697769,0.339697769,0.23962581,0.339697769,-0.585191083,0.003381824,0.102702703,0.060862332,flat
