,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,epsPos,epsNeg,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
12,-0.080383285,-0.015389,-0.232904085,-0.429867987,-0.227857975,AAOI,46223000,-9659000,286938000,82251000,-649000,6195000,-15761000,2599000,1632000,-7922000,27.51,20000,39403000,13935000,,6964000,,,2170000,,1059000,0.28,-0.05,0.33,0,1,,,25836000,1124000,-996000,10463000,-71000,92624000,36000,62464000,,1,,,15585000,2120000,2120000,2120000,53655000,332831000,,28.66,2170000,18685000,,3128000,2374000,9196000,,,,16078000,204644000,3/31/2018,11736000,40258000,11930000,65154000,,-0.152,2/22/2018,475617000,14576000,-4064000,-12220000,241825000,69859000,132323000,63069000,-1046000,65239000,343294000,16078000
13,-0.387872452,0.381439245,0.051166966,-0.071126388,-0.085227394,AAOI,51429000,-21236000,288686000,76190000,-5356000,4987000,-5853000,5206000,4552000,4144000,32.26,20000,53959000,13151000,,7327000,,,8943000,,773000,0.64,0.19,0.45,1,0,,,33863000,10330000,2296000,10074000,-279000,93269000,,57868000,,1,,,-4122000,8034000,8034000,8034000,48668000,332557000,,31.64,8943000,19437000,,-1684000,2391000,2252000,,,,5633000,212105000,6/30/2018,12645000,48292000,12275000,61029000,,0.42200002,5/9/2018,472204000,-5272000,22143000,-23000000,230588000,71705000,129573000,78879000,1387000,87822000,342631000,5633000
14,-0.341445783,0.074503637,-0.250462804,-0.326805838,-0.227452125,AAP,,,,,,,,,,,87.08,,,,,,,,,,,1.43,0.22,1.21,1,0,,,,,,,,,,,,,,,,,,,,,,91.99,,,,,,,,,,,,9/30/2017,,,,,,0.18200001,8/15/2017,,,,,,,,,,,,
15,-0.432629982,-0.04336705,-0.055121727,-0.433528399,0.151299198,AAP,,,,,,,,,,,95.72,,,,,,,,,,,0.77,0.14,0.63,1,0,,,,,,,,,,,,,,,,,,,,,,94.88,,,,,,,,,,,,12/31/2017,,,,,,0.222,11/14/2017,,,,,,,,,,,,
16,-0.34800099,-0.107430314,0.164088398,0.129637572,0.078910308,AAP,,,,,,,,,,,114,,,,,,,,,,,2.1,0.13,1.97,1,0,,,,,,,,,,,,,,,,,,,,,,116.96,,,,,,,,,,,,3/31/2018,,,,,,0.066,2/21/2018,,,,,,,,,,,,
17,-0.213375586,0.129169826,0.130991932,0.316574586,-0.032585619,AAP,,,,,,,,,,,115.33,,,,,,,,,,,1.97,0.11,1.86,1,0,,,,,,,,,,,,,,,,,,,,,,123.55,,,,,,,,,,,,6/30/2018,,,,,,0.059,5/22/2018,,,,,,,,,,,,
18,0.414898633,0.045644599,0.017219172,0.236505974,0.046168556,AAPL,49049000000,-3865000000,,20289000000,1718000000,-5474000000,-1709000000,14622000000,2352000000,-7333000000,157.14,35867000000,32648000000,,,2484000000,,-3270000000,13120000000,,,2.07,0.2,1.87,1,0,,5717000000,19931000000,13917000000,3203000000,2298000000,-666000000,4855000000,-5768000000,97207000000,1.94714E+11,1,,,6923000000,10714000000,10714000000,10714000000,35673000000,1.26032E+11,,159.28,13120000000,10162000000,93000000,-93000000,13718000000,7583000000,,43251000000,,-150000000,33783000000,9/30/2017,2997000000,98330000000,3814000000,1.1568E+11,53892000000,0.107,8/2/2017,3.75319E+11,-3996000000,15656000000,-9942000000,1.28645E+11,1.00814E+11,2.41272E+11,39459000000,797000000,52579000000,1.34047E+11,-150000000
19,0.506496998,0.081858549,0.074940853,0.128558002,0.025778709,AAPL,,,,,,,,,,,172.5,,,,,,,,,,,3.89,0.03,3.86,1,0,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,12/31/2017,,,,,,0.008,11/3/2017,,,,,,,,,,,,
20,0.303145631,-0.025837543,-0.007453857,0.067710322,-0.044359655,AAPL,34311000000,-4195000000,,45059000000,17568000000,9093000000,-3241000000,-28121000000,710000000,20128000000,160.5,38044000000,37715000000,,,2739000000,,-3190000000,15894000000,,,2.73,0.06,2.67,1,0,,,23422000000,16168000000,2346000000,,-792000000,7662000000,32894000000,1.01362E+11,1.79286E+11,1,,,-501000000,13822000000,13822000000,13822000000,22408000000,1.26878E+11,,166,15894000000,23086000000,,-11000000,12043000000,7775000000,,49942000000,,-3064000000,35077000000,3/31/2018,3378000000,91898000000,4150000000,1.2184E+11,42881000000,0.022,2/2/2018,3.67502E+11,-26272000000,15130000000,28710000000,1.30053E+11,89320000000,2.40624E+11,45243000000,274000000,61137000000,1.26878E+11,-3064000000
21,0.15363624,0.004216402,0.012756783,0.037105182,0.043227142,AAPL,38489000000,-3267000000,,31971000000,-13088000000,233000000,1693000000,1500000000,2218000000,-5340000000,176.57,38624000000,32844000000,,,2665000000,,-3653000000,12612000000,,,2.34,0.16,2.18,1,0,,,20421000000,13284000000,1765000000,,-846000000,5936000000,7916000000,97128000000,1.72773E+11,1,,,-6011000000,11519000000,11519000000,11519000000,26367000000,1.14949E+11,,175.225,12612000000,22546000000,,-576000000,12488000000,7403000000,,48572000000,,-3111000000,38117000000,6/30/2018,3701000000,79436000000,4108000000,1.146E+11,38999000000,0.073,5/2/2018,3.49197E+11,-31523000000,14488000000,3947000000,1.15761E+11,88548000000,2.34248E+11,40653000000,672000000,53265000000,1.14949E+11,-3111000000
22,-0.119345859,-0.000394945,0.005162828,-0.055949273,-0.094836171,AAXN,12354000,-3331000,197978000,43471000,15433000,-21527000,6694000,7491000,1031000,10223000,23.02,1000,40497000,22845000,,2277000,,,-799000,,1561000,0.01,-0.03,0.04,0,1,,14923000,49765000,631000,209000,20758000,-200000,52692000,15256000,,,1,,,-9000,422000,422000,422000,51204000,130399000,,24.3,-799000,71922000,-1750000,,,71107000,,61436000,,-1208000,31263000,9/30/2017,14166000,125256000,36398000,,18372000,-0.75,8/9/2017,327607000,-253000,6611000,7514000,188741000,100091000,161527000,91061000,1430000,90262000,166080000,-157155000
23,0.025583483,-0.040722082,-0.007384883,-0.12952381,-0.064159308,AAXN,8592000,-1347000,201672000,75105000,31634000,-9278000,7328000,11432000,12296000,2254000,21.43,1000,31635000,15755000,6803000,2364000,,,8648000,,32000,0.13,0.16,-0.03,1,0,,14927000,63016000,7066000,9137000,18823000,-200000,45465000,11447000,41000,,1,,,-9000,-2071000,-2071000,-2071000,56064000,133694000,,22.62,8648000,67998000,-1750000,,,79058000,,62677000,,-1467000,31172000,12/31/2017,14755000,123185000,39613000,41000,6862000,5.3329997,11/8/2017,338112000,-2254000,24325000,9531000,205192000,107950000,170668000,86003000,-1582000,94651000,167444000,-157414000
24,0.044861963,-0.005837286,0.132585204,0.262743281,0.245425563,AAXN,11692000,-1063000,202344000,92330000,16360000,-17060000,2408000,13303000,5767000,-1702000,34.83,1000,36754000,14200000,12881000,2411000,,,13583000,,469000,0.24,0.19,0.05,1,0,,14947000,64461000,14846000,1920000,17496000,-37000,43104000,2365000,,,1,,,-9000,12926000,12926000,12926000,97127000,166886000,,32.01,13583000,70397000,-575000,,5526000,91653000,,64946000,,-2174000,31175000,3/31/2018,15119000,155105000,35759000,,4475000,3.8,2/28/2018,392985000,-3430000,18053000,1268000,258970000,128710000,193656000,87632000,1263000,101215000,199329000,-158121000
25,0.783146965,0.060822048,0.775347913,0.907304571,0.201545809,AAXN,9213000,-3602000,442717000,307507000,215179000,-7731000,2100000,-5495000,3671000,-5727000,54.62,1000,36083000,15813000,13766000,2750000,,,5299000,,-1007000,0.15,0.11,0.04,1,0,,24684000,63143000,5004000,-3481000,20442000,,43967000,342000,,,1,,,9000,8485000,8485000,8485000,104764000,403716000,,50.4,5299000,75802000,-575000,,5941000,85089000,,72657000,,-1519000,34503000,6/30/2018,18501000,163590000,39343000,,4124000,2.75,5/9/2018,642397000,226627000,-1947000,-8494000,486966000,120898000,193555000,93927000,-295000,99226000,448842000,-157466000
26,-0.205867971,0.009950249,-0.04245283,-0.100775194,0.017699577,ABX,1118000000,-307000000,283000000,2025000000,-901000000,-35000000,-127000000,50000000,234000000,16000000,16.53,20889000000,1270000000,863000000,,405000000,,-31000000,523000000,,1000000,0.16,-0.01,0.17,0,1,,1286000000,723000000,271000000,314000000,270000000,-129000000,2038000000,49000000,6346000000,1243000000,1,2008000000,2008000000,-1023000000,-11000000,-11000000,-43000000,239000000,8058000000,,16.54,523000000,3570000000,-73000000,,440000000,557000000,,5328000000,31000000,-130000000,13961000000,9/30/2017,,-11428000000,74000000,6447000000,,-0.059,7/27/2017,25072000000,-1127000000,532000000,-306000000,4742000000,1738000000,13450000000,1470000000,-252000000,1993000000,9614000000,-130000000
