,1Year,1month,3month,6month,PostEarningsReturn,Underlying_stats,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,earnBeatsBefore,earnMissBefore,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock,industry,sector,Underlying
688,-0.43879472693032007,0.020547945205479534,-0.17906336088154273,-0.20954907161803715,-0.016920877488337063,CHK,657000000,-508000000,14419000000,4000000,-1000000,,,0,-27000000,104000000,2.93,9000000,1759000000,,,286000000,,-23000000,3.0,0.0,329000000,,,0.34,0.07,0.27,,,699000000,294000000,0,,-147000000,,74000000,9325000000,,1,123000000,123000000,-581000000,293000000,268000000,294000000,1082000000,-1891000000,,3.07,329000000,286000000,-6000000,,138000000,1084000000,,504000000,12000000,-47000000,10576000000,2018-06-30,,-16240000000,72000000,9377000000,,0.259,2018-05-02,12086000000,-610000000,656000000,-47000000,1224000000,2354000000,12183000000,2129000000,-35000000,2458000000,-1891000000,-79000000,Oil & Gas E&P,Energy,CHK
689,-0.338123415046492,-0.1544276457883369,-0.17230443974630028,-0.449367088607595,-0.040396372040963316,CHS,,,,,,,,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07,,,,,,,,,,,,2017-10-31,,,,,,,2017-08-30,,,,,,,,,,,,,Apparel Stores,Consumer Cyclical,CHS
690,-0.4307692307692308,0.004938271604938427,0.06405228758169934,-0.26600541027953106,-0.031194045156666118,CHS,,,,,,,,,,,7.89,,,,,,,,0.0,1.0,,,,0.13,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,8.72,,,,,,,,,,,,2018-01-31,,,,,,0.0,2017-11-21,,,,,,,,,,,,,Apparel Stores,Consumer Cyclical,CHS
691,-0.4153742414025624,-0.10894141829393633,0.03214285714285703,0.059902200488997526,0.1467083234711325,CHS,,,,,,,,,,,10.04,,,,,,,,1.0,1.0,,,,0.11,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,2018-04-30,,,,,,0.222,2018-02-28,,,,,,,,,,,,,Apparel Stores,Consumer Cyclical,CHS
692,0.06616862326574191,0.0060422960725075026,0.152249134948097,0.18928571428571428,-0.20111568378855063,CHS,,,,,,,,,,,8.17,,,,,,,,1.0,2.0,,,,0.23,-0.03,0.26,,,,,,,,,,,,,,,,,,,,,,8.58,,,,,,,,,,,,2018-07-31,,,,,,-0.115,2018-05-30,,,,,,,,,,,,,Apparel Stores,Consumer Cyclical,CHS
693,0.4655433229683166,0.057295298147755025,0.009756803705848416,0.12394057555347882,0.050676652199724774,CHTR,,,,,,,,,,,366.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,,,,,,,,,,,,2017-09-30,,,,,,,2017-07-27,,,,,,,,,,,,,Pay TV,Communication Services,CHTR
694,0.34174900801369335,-0.049441918147995034,-0.05993458708094834,-0.01115252293577973,-0.08662399917679052,CHTR,572000000,-2393000000,39773000000,2164000000,1470000000,-162000000,,138000000,123000000,60000000,316.29,,4706000000,,,2701000000,,,0.0,1.0,1060000000,,,0.19,-0.83,1.02,,29554000000,5752000000,118000000,26000000,80556000000,-788000000,,-105000000,66064000000,,1,9349000000,9349000000,4964000000,48000000,48000000,92000000,1652000000,-76881000000,,322.0,1060000000,686000000,-574000000,65000000,,4732000000,,29167000000,,-2000000,33300000000,2017-12-31,,1206000000,1991000000,68132000000,,-0.814,2017-10-26,148228000000,890000000,2908000000,-2328000000,4132000000,10419000000,105650000000,9398000000,-942000000,10458000000,33229000000,-7750000000,Pay TV,Communication Services,CHTR
695,0.1356279638978124,0.051412061297906764,0.11075201244875355,-0.03724645951133476,0.04302872864324314,CHTR,740000000,-2585000000,35253000000,621000000,-1543000000,17000000,,178000000,-9271000000,39000000,387.5,,4689000000,,,2742000000,,,1.0,1.0,1188000000,,,1.14,0.27,0.87,,29554000000,5913000000,431000000,-9186000000,79959000000,-840000000,,-105000000,68186000000,497000000,1,8447000000,8447000000,2188000000,9553000000,9553000000,9617000000,1635000000,-70429000000,,380.0,1188000000,170000000,-812000000,484000000,,5201000000,,19816000000,,-1000000,33888000000,2018-03-31,,3832000000,1983000000,70231000000,,0.31,2018-02-02,146623000000,-2586000000,3258000000,-2215000000,2555000000,11090000000,99092000000,9414000000,-757000000,10602000000,39084000000,-1000000,Pay TV,Communication Services,CHTR
696,-0.13679791546033582,-0.02648076797492327,-0.20523004744895246,-0.12375830247457831,-0.12420770484650925,CHTR,622000000,-2183000000,35352000000,576000000,-45000000,226000000,,-300000000,26000000,-131000000,263.325,,4679000000,,247000000,2710000000,,,2.0,1.0,1111000000,,,0.7,0.18,0.52,,29554000000,5978000000,251000000,28000000,79071000000,-851000000,,,67609000000,,1,8357000000,8357000000,744000000,168000000,168000000,223000000,1409000000,-69857000000,,275.14,1111000000,1126000000,-169000000,-555000000,,4842000000,,19815000000,,-1000000,34002000000,2018-06-30,,4034000000,2157000000,70949000000,,0.346,2018-04-27,146151000000,-6000000,2699000000,-2738000000,2398000000,11602000000,99026000000,9546000000,-860000000,10657000000,38768000000,-618000000,Pay TV,Communication Services,CHTR
697,0.11688909341923615,-0.059666795815575324,-0.10739242368517843,-0.08033345964380456,-0.11608484921971542,CIEN,,,,,,,,,,,21.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.16,,,,,,,,,,,,2017-10-31,,,,,,,2017-08-31,,,,,,,,,,,,,Communication Equipment,Technology,CIEN
