Underlying,quarter,1Year,1month,3month,6month,industry,sector,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
TWLO,3/31/2018,-0.242406877,0.043821555,0.034833659,-0.158229863,Software - Application,Technology,3.495837298,0.301495007,162.0105177,0.249080873,0.538538988,-0.187869822,-0.187869822,-0.183780476,-0.187869822,0.020817585,0.003717101,-0.763833284,1.834789797,up
TWLO,6/30/2018,0.860318792,0.160690919,0.799918831,0.466600529,Software - Application,Technology,7.196890137,0.285881523,166.9246179,0.564161007,0.540181653,-0.148611882,-0.148611882,-0.162472759,-0.148611882,0.761435432,0.013623361,-0.925351995,-0.434250765,up
TWTR,9/30/2017,0.062872629,0.082229581,0.239570164,0.172145846,Internet Content & Information,Technology,10.39567998,0.099639997,315.6144754,0.31747456,0.643988718,0.014549728,0.014549728,-0.035776491,0.014549728,0.187976109,-0.000374825,-5.217824129,0.047489654,down
TWTR,12/31/2017,-0.006952491,0.01120944,0.017814727,0.031908489,Internet Content & Information,Technology,9.1240952,0.115564257,331.4257477,0.31909158,0.702308765,0.171275083,0.171275083,0.124499699,0.171275083,0.031649529,0.009651797,1.146114911,0.099971228,up
TWTR,3/31/2018,0.473713034,0.113363674,0.387828778,0.66625387,Internet Content & Information,Technology,10.23208942,0.101460607,335.8871119,0.308909507,0.664712403,0.111186982,0.111186982,0.091742609,0.111186982,-0.027110706,-0.011570606,1.195927669,-0.177432182,up
TWTR,6/30/2018,1.071380014,-0.045126919,0.339340659,0.705092334,Internet Content & Information,Technology,11.00318799,0.106700636,315.8924819,0.371317074,0.676042621,0.112061091,0.112061091,0.140902495,0.112061091,0.370210572,0.003075683,0.373992429,0.181749393,flat
UA,9/30/2017,-0.492717087,-0.101686508,-0.047844374,-0.278198485,Apparel Manufacturing,Consumer Cyclical,2.232628091,0.523838766,190.4159958,0.491401849,0.461681897,0.107266214,0.107266214,0.038589514,0.107266214,0.357815056,0.001029725,2.677205855,0.459286395,down
UA,12/31/2017,-0.43110768,-0.022546419,-0.091805299,-0.213027229,Apparel Manufacturing,Consumer Cyclical,2.204577626,0.52529126,162.9822076,0.496141517,0.432986587,0.000251948,0.000251948,-0.064393226,0.000251948,-0.089444866,0,2.914717925,11.88389938,down
UA,3/31/2018,-0.307773109,-0.067892504,0.199272066,-0.21547619,Apparel Manufacturing,Consumer Cyclical,1.968027959,0.652741296,248.0033618,0.52683371,0.447899812,0.013745075,0.013745075,-0.025514396,0.013745075,-0.098539014,-0.029775833,8.4731517,11.88389938,up
UA,6/30/2018,-0.209170531,0.097212294,0.164643399,0.04778157,Apparel Manufacturing,Consumer Cyclical,1.913864998,0.695665394,226.7450179,0.54637042,0.453266307,-0.01710418,-0.01710418,-0.081323801,-0.01710418,-0.436130821,0.097986398,-0.297192916,0.32864183,up
