,Underlying,timestamp,quarter
219,AMC,2018-03-01,2018-03-31
220,AMC,2018-05-08,2018-06-30
221,AMD,2017-07-26,2017-09-30
223,AMD,2018-01-31,2018-03-31
224,AMD,2018-04-26,2018-06-30
225,AMGN,2017-07-26,2017-09-30
226,AMGN,2017-10-26,2017-12-31
227,AMGN,2018-02-02,2018-03-31
228,AMGN,2018-04-25,2018-06-30
229,AMRN,2017-08-02,2017-09-30
230,AMRN,2017-11-01,2017-12-31
231,AMRN,2018-02-27,2018-03-31
232,AMRN,2018-05-02,2018-06-30
233,AMRS,2017-08-11,2017-09-30
234,AMRS,2017-11-15,2017-12-31
235,AMRS,2018-03-16,2018-03-31
236,AMRS,2018-05-15,2018-06-30
237,AMT,2017-07-27,2017-09-30
238,AMT,2017-10-31,2017-12-31
239,AMT,2018-02-27,2018-03-31
240,AMT,2018-05-01,2018-06-30
241,APO,2017-08-02,2017-09-30
242,APO,2017-11-01,2017-12-31
243,APO,2018-02-01,2018-03-31
244,APO,2018-05-03,2018-06-30
250,APTI,2017-10-31,2017-12-31
251,APTI,2018-02-06,2018-03-31
252,APTI,2018-05-01,2018-06-30
253,AR,2017-08-03,2017-09-30
254,AR,2017-11-02,2017-12-31
255,AR,2018-02-14,2018-03-31
256,AR,2018-04-26,2018-06-30
257,BABA,2017-08-17,2017-09-30
259,BABA,2018-02-01,2018-03-31
261,BAC,2017-07-18,2017-09-30
262,BAC,2017-10-13,2017-12-31
263,BAC,2018-01-17,2018-03-31
264,BAC,2018-04-16,2018-06-30
265,BAX,2017-07-26,2017-09-30
266,BAX,2017-10-25,2017-12-31
267,BAX,2018-02-01,2018-03-31
268,BAX,2018-04-26,2018-06-30
273,BBD,2017-11-14,2017-09-30
274,BBD,2018-02-01,2017-12-31
275,BBD,2018-04-26,2018-03-31
285,BCEI,2017-08-09,2017-09-30
286,BCEI,2017-11-09,2017-12-31
287,BCEI,2018-03-15,2018-03-31
288,BCEI,2018-05-09,2018-06-30
289,BCO,2017-07-26,2017-09-30
290,BCO,2017-10-25,2017-12-31
291,BCO,2018-02-07,2018-03-31
292,BCO,2018-04-25,2018-06-30
294,BDC,2017-11-01,2017-12-31
297,BDX,2017-08-03,2017-09-30
298,BDX,2017-11-02,2017-12-31
299,BDX,2018-02-06,2018-03-31
300,BDX,2018-05-03,2018-06-30
301,BEAT,2017-08-09,2017-09-30
303,BEAT,2018-02-23,2018-03-31
