,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
2,0.02934587813620082,-0.03587914393621472,0.2549501570394648,0.13695410120004947,-0.0039249941361452914,ABC,26403594000,-95175000,4674295000,2091359000,-946388000,-682010000,-345037000,443601000,130044000,9047000,91.54,2831000,39778175000,,,119381000,,-83978000,518869000,,,1.94,0.12,1.82,,6697566000,1255683000,361332000,79172000,3062323000,-49984000,12867481000,,4640021000,,1,176046000,176046000,-23469000,287455000,287455000,282160000,11265014000,-6572339000,,92.58,518869000,298478000,-6092000,8831000,,625000000,,2297711000,31000,-43506000,1940154000,2018-03-31,,3376993000,617426000,4892915000,,0.066,2018-02-06,38395732000,-65721000,-87568000,-793099000,26397211000,28094404000,35032136000,40514989000,-157537000,41033858000,3187550000,-4866569000
3,0.08134319311431693,0.06279042058858564,-0.12941635760296688,0.16784498559832417,0.03286214770639854,ABC,26449542000,-79543000,4695962000,2388928000,297569000,-517245000,753440000,79561000,30131000,49202000,92.18,2833000,41966568000,,,138919000,,-83431000,429117000,,,1.54,0.08,1.46,,6712729000,1175741000,345202000,67327000,3000912000,-52845000,12074347000,,4569762000,,1,178111000,178111000,-121565000,275809000,275809000,277875000,11764614000,-6615820000,,88.56,429117000,288193000,-2281000,-4730000,,625000000,,2364227000,31000,-82020000,1903357000,2018-06-30,,3569371000,626548000,4765354000,,0.055,2018-05-02,38309592000,-435266000,823285000,-90450000,26404401000,28099671000,35033660000,42713192000,-83915000,43142309000,3097821000,-5170345000
0,1.0670391061452515,-0.1685393258426966,0.19354838709677424,0.42307692307692313,0.09038406146826894,ABEO,2037000,-72000,440813000,56522000,-1782000,-14000,,-1730000,1085000,-906000,8.1,409000,0,,,138000,,,-5362000,,,-0.13,0.06,-0.19,,32466000,219000,-5343000,0,4063000,-2000,,-69852000,,,1,,,,-5343000,-5343000,-5343000,111000,53351000,,7.2,-5362000,77000,,,,602000,,3212000,,,730000,2017-09-30,3277000,-351342000,2166000,,,0.316,2017-08-15,95731000,5060000,-6770000,-72000,58395000,2639000,5851000,5581000,19000,219000,89880000,
1,1.8415841584158414,0.02499999999999991,-0.1086956521739132,-0.05280528052805289,-0.006993035490970525,ABEO,2393000,-704000,529421000,137750000,81228000,4000,,2817000,1410000,-1253000,14.25,469000,0,,,146000,,,-8750000,,,-0.19,-0.05,-0.14,,32466000,215000,-8450000,0,3977000,-1000,,-69852000,,,1,,,,-8450000,-8450000,-8450000,107000,133655000,,14.05,-8750000,357000,,,,3214000,,3061000,,,1374000,2017-12-31,5706000,-359792000,3113000,,,-0.357,2018-04-02,178766000,87258000,-5326000,-704000,140592000,5607000,8668000,8965000,300000,215000,170098000,
2,,,,,,ABEO,5910000,-3502000,533319000,131995000,-5755000,43000,,1449000,2072000,643000,,472000,8162000,,,174000,,,-8616000,,,-0.18,0.01,-0.19,,32466000,-5564000,-8463000,0,3890000,-3000,,-69852000,,,1,,,,-8463000,-8463000,-8463000,64000,132843000,,,-8616000,357000,,,,544000,,,,,4789000,2018-03-31,,-364592000,2878000,,,0.053000003,,175653000,1829000,-4082000,-3502000,134151000,6454000,6454000,11214000,153000,2598000,169199000,
3,,,,,,ABEO,5783000,-3421000,536733000,49990000,-81725000,17000,,-671000,2845000,197000,,473000,7916000,,,290000,,,-12014000,,,-0.25,-0.06,-0.19,,32466000,-7097000,-11700000,0,3803000,-3000,,-69852000,,,1,,,,-11700000,-11700000,-11700000,47000,124645000,,,-12014000,595000,,,,,,,,,8007000,2018-06-30,,-376292000,4627000,,69852000,-0.316,,166697000,570000,-9022000,-73273000,121826000,5783000,5783000,12833000,314000,819000,160914000,
0,0.2696245733788398,0.032818395386915444,0.1153136531365313,0.2635429367705977,-0.01465049637362896,ABMD,16667000,-7871000,592081000,44536000,566000,-3619000,-4061000,5561000,18608000,-692000,142.97,442000,21627000,106798000,16016000,2857000,,,32143000,,-346000,0.54,0.16,0.38,,34332000,111196000,32484000,7981000,,,40632000,-35514000,,68554000,1,,,-193000,24503000,24503000,24503000,57327000,570554000,,144.02,32143000,123900000,-19237000,,,11538000,,11299000,,-11802000,97697000,2017-09-30,18973000,90164000,60080000,15961000,218661000,0.42099997,2017-07-27,694653000,1140000,43157000,-43385000,370170000,63358000,89767000,100680000,341000,132823000,604886000,-77801000
1,0.40501762728539803,0.04672611776203284,0.19864307197314135,0.3089673082798656,0.046851513357887294,ABMD,21991000,-26493000,605697000,50502000,5966000,-7518000,-6611000,3498000,44217000,6884000,179.59,443000,24994000,75201000,16241000,2780000,,,45354000,,-622000,0.29,-0.22,0.51,,34814000,129028000,45654000,32208000,,,46891000,-25221000,,62085000,1,,,-140000,13446000,13446000,13446000,64862000,597668000,,177.0,45354000,92528000,19237000,,,12807000,,11767000,,-10646000,107977000,2017-12-31,17118000,103610000,66556000,,250751000,-0.431,2017-10-26,719602000,1606000,56696000,-51714000,422198000,75353000,87120000,108668000,300000,154022000,632482000,-77268000
2,1.2092695308827675,0.22084264117616503,0.30933808780922667,0.60103556342826,0.07431767660797466,ABMD,23565000,-11695000,619905000,42975000,-7527000,-4947000,-3712000,4977000,19914000,415000,253.13,444000,30098000,70746000,16705000,2905000,,,47634000,,1978000,0.8,0.16,0.64,,35808000,144338000,48507000,11660000,,,50204000,-56760000,,50102000,1,,,,36847000,36847000,36847000,70010000,653716000,,238.0,47634000,89027000,-20317000,,,16301000,,12169000,,-4204000,117167000,2018-03-31,21203000,140457000,75501000,,319274000,0.25,2018-02-01,786375000,2551000,56399000,-68455000,494271000,84682000,96851000,126802000,873000,174436000,689524000,-71282000
3,1.2500744712540959,0.047170138287179864,0.28570212765957437,0.6834187653220414,0.10494009234826517,ABMD,25673000,-15147000,637974000,61288000,18313000,1930000,-7794000,-168000,-31655000,-8707000,335.57,449000,30850000,115049000,15837000,2959000,,,46589000,,-1285000,1.95,1.13,0.82,,33948000,149160000,48487000,-41579000,,,55781000,49914000,,20687000,1,,,,90066000,90066000,90066000,67511000,689411000,,310.0,46589000,132783000,,,,13161000,,12002000,,-10913000,127324000,2018-06-30,21432000,230523000,81139000,,299228000,1.378,2018-05-03,812039000,-61800000,46631000,34767000,497297000,76678000,88680000,133421000,1898000,180010000,723359000,-145587000
