,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
ABMD,1.7146368,0.18035269,,,2.0,-0.17136,,4.0,16.119,,5.0,406.58,6.486,1534291200,,1.378,1.41,183220992,0.28570998,96.503,27.572,17681448960,USD,,43893901,4.88,83.31557,82787000,1143.0,,,0.83225995,495168000,0.04223,0.87209,Medical Devices,,,1522454400,970444800,2/1,,1,86400,,,1530316800,164862000,1585612800,9,202883008,0.26777,5.0,3.03,2,25.22365,,0.25708,0.25708,5.582,buy,1.7,0.14659001,0.25552,0.359,14.471,,Healthcare,7.0,44877200,0.020299999,766271,1531440000,735371,,1.26,515.0,370.0,449.22,448.0,,,360516000,8.033,0,641291008,3.587,,
AMTD,0.3802353,0.18035269,,,1.0,1.426188,,6.0,13.972,,7.0,58.57,1.131,1534291200,33.178,0.806,0.952,,0.0,,6.026,29781379072,USD,,272080569,3.94,14.865482,,9912.0,,,0.92695,3325000000,0.09184,0.92114997,Capital Markets,,,1506729600,931219200,3/1,,1,86400,,,1530316800,1230000000,1569801600,14,110000000,0.41926,6.0,0.57,2,4.191955,,0.24889,0.24889,1.128,buy,2.1,0.03638,0.18364,0.486,8.853,,Financial Services,8.0,567649984,0.019199999,10905041,1531440000,7919152,0.0414,5.07,77.0,60.0,68.32,68.25,,,6150000128,10.834,2632999936,4942000128,2.19,,
FTNT,1.260479,0.18035269,,,2.0,0.489811,,6.0,4.617,,8.0,83.76,1.737,1534291200,,1.154,1.143,215620000,0.13218,58.497,7.732,12613124096,USD,,144148664,1.91,43.853405,431665504,5462.0,,,0.74903,1109646000,0.17419,0.73439,Software - Application,,,1514678400,1306972800,2/1,,1,86400,,,1530316800,88599000,1577750400,22,601905024,0.0986,6.0,1.91,2,18.141651,,0.05431,0.05431,1.629,buy,2.4,0.04073,0.104090005,0.214,9.55,,Technology,6.0,169136992,0.0394,6655807,1531440000,7080232,0.048,4.13,82.0,52.0,73.25,75.0,,,1433699968,8.477,0,1631229952,0.512,,
FTR,-0.6114743,0.18035269,,,1.0,0.337988,,1.0,22.692,,1.0,5.2,0.467,1534291200,726.239,,,3486000128,0.39483002,5.065,2.0,17656117248,USD,,103689568,-0.83,-6.26506,834124992,21718.0,,,0.60709,5572000000,0.017860001,0.63828,Telecom Services,,,1514678400,1499644800,1/15,,1,86400,,,1530316800,-1279000064,1577750400,15,1944000000,0.16333,1.0,-0.44,2,0.22915564,,-0.120620005,-0.120620005,0.386,hold,3.5,0.0345,-0.35696,-0.062,113.572,,Communication Services,1.0,105810000,0.28170002,29802326,1531440000,31083593,0.5802,8.08,15.0,4.0,6.28,6.0,,,384000000,3.629,17436999680,8828999680,-16.452,,
FTV,0.28652644,0.18035269,,,1.0,0.675,,9.0,16.116,,5.0,83.98,1.959,1534291200,66.054,0.221,0.229,1668300032,0.23535,18.35,4.319,30613817344,USD,,308514512,3.8,22.1,705299968,26000.0,,,0.50236,3298500000,0.117180005,0.85049003,Scientific & Technical Instruments,,,1514678400,,,,1,86400,,,1530230400,1160700032,1577750400,11,1295200000,0.20452,8.0,1.93,2,5.210971,,0.16377,0.16377,1.547,buy,2.1,0.088599995,0.26339,0.139,20.346,,Technology,9.0,349152000,0.0229,7987670,1531440000,6499180,0.0295,4.94,93.0,79.0,87.09,89.0,,,2368199936,6.783,3726700032,7088699904,3.279,,
GE,-0.48404038,0.18035269,,,1.0,0.714064,,5.0,6.336,,4.0,12.94,2.188,1534291200,153.831,-0.296,-0.243,5703000064,0.04598,40.893,1.88,233214099456,USD,,8679869506,1.02,12.686275,28325625856,313000.0,,,0.12382,14874000000,0.00141,0.55496,Diversified Industrials,,,1514678400,957744000,3/1,,1,86400,,,1530316800,-5962999808,1577750400,14,10337999872,-0.0171,3.0,2.18,2,2.0422978,,-0.0573,-0.0573,1.533,hold,2.8,-0.0038,-0.07446,0.035,14.285,,Industrials,2.0,8691080192,0.0139999995,121477786,1531440000,110377426,0.014099999,2.14,36.0,11.0,17.11,15.0,,,13411000320,1.543,115572998144,124037996544,-0.871,,
GFN,1.831579,0.18035269,,,,0.851347,,,4.208,,,13.65,1.687,1534291200,287.047,,,76702000,0.2347,10.812,2.538,829337408,USD,,9688997,0.07,195.0,30029750,848.0,,,0.45801,126071000,0.51668,0.23525,Rental & Leasing Services,,,1498780800,,,,1,86400,,,1522454400,-2163000,1561852800,2,48063000,0.11113,,-22.42,2,3.2438211,,0.00457,0.00457,1.041,buy,1.7,0.03296,0.00619,0.233,12.437,,Industrials,,26757100,0.013099999,351009,1531440000,421558,0.0429,5.35,13.0,12.25,12.63,12.63,,,10827000,0.405,439678016,326807008,-0.09,,
GG,-0.2253021,0.18035269,,,2.0,0.352456,,5.0,16.158,,5.0,10.84,1.007,1534291200,20.02,,,1295000064,0.38564998,9.497,3.663,12298900480,USD,,863681720,0.64,16.9375,365624992,7079.0,,,0.45831,1546000000,0.12245,0.00545,Gold,,,1514678400,1022630400,2/1,,1,86400,,,1530316800,289000000,1577750400,20,1255000064,-0.15873,4.0,2.17,2,0.6708751,,0.08606,0.08606,0.538,buy,2.1,-0.015369999,0.02071,-0.035,3.866,,Basic Materials,1.0,869273984,0.0162,11877248,1531440000,10205967,,2.46,27.0,12.0,17.33,17.83,,,159000000,0.183,2812000000,3358000128,0.331,,
GLUU,1.2069972,0.18035269,,,2.0,0.198452,,7.0,1.161,,9.0,7.7,1.161,1534291200,,,,-40712000,-0.12226,-24.771,3.028,1008462656,USD,,111255409,0.35,22.0,12592875,546.0,,,0.56137,156005000,0.21271,0.54971004,Electronic Gaming & Multimedia,,,1514678400,,,,1,86400,,,1530316800,-62857000,1577750400,6,-62000,-0.15022999,7.0,2.02,2,6.6322136,,-0.18876,-0.18876,0.853,buy,2.0,-0.10165,-0.35171002,0.313,2.408,,Technology,8.0,141804000,0.031400003,4450816,1531440000,4683071,0.040900003,2.1,8.25,6.5,7.29,7.25,,,64996000,0.458,0,332996000,-0.456,,
GLW,0.16946197,0.18035269,,,1.0,1.259398,,4.0,14.31,,7.0,33.51,2.23,1534291200,38.456,0.843,0.681,2824999936,0.26928,11.62,3.129,32827201536,USD,,807682162,2.03,16.50739,203124992,46200.0,,,0.39281,4032000000,0.0028900001,0.72876,Electronic Components,,,1514678400,970617600,3/1,,1,86400,,,1530316800,-971000000,1577750400,12,2568000000,0.15061,5.0,1.96,2,2.341719,,-0.08321,-0.08321,1.329,buy,2.3,0.03659,-0.05451,0.1,12.299,,Technology,5.0,810014976,0.0276,22331573,1531440000,25291688,0.026400002,3.7,40.0,31.6,35.72,36.5,,,2023000064,2.497,5365000192,10490999808,-1.189,,
