,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
GNRC,0.30630207,0.18035269,,,1.0,0.903081,,4.0,9.953,,6.0,55.49,1.938,1534291200,139.258,1.0,1.106,361854016,0.19669001,11.829,2.327,4280354048,USD,,60789313,4.2,13.2119055,185076624,4017.0,,,0.35801998,584117000,0.01953,1.01421,Diversified Industrials,,,1514678400,,,,1,86400,,,1530316800,198856000,1577750400,7,286496992,0.16969,5.0,2.06,2,5.5752034,,0.11351,0.11351,0.882,buy,2.5,0.095249996,0.37248,0.253,29.788,,Industrials,7.0,61994500,0.053200003,3295946,1531440000,4177272,0.0638,6.51,60.0,49.0,56.71,58.0,,,111714000,1.802,933433024,1839667968,3.195,,
GNRC,0.30630207,0.18035269,,,1.0,0.903081,,4.0,9.953,,6.0,55.49,1.938,1534291200,139.258,1.0,1.106,361854016,0.19669001,11.829,2.327,4280354048,USD,,60789313,4.2,13.2119055,185076624,4017.0,,,0.35801998,584117000,0.01953,1.01421,Diversified Industrials,,,1514678400,,,,1,86400,,,1530316800,198856000,1577750400,7,286496992,0.16969,5.0,2.06,2,5.5752034,,0.11351,0.11351,0.882,buy,2.5,0.095249996,0.37248,0.253,29.788,,Industrials,7.0,61994500,0.053200003,3295946,1531440000,4177272,0.0638,6.51,60.0,49.0,56.71,58.0,,,111714000,1.802,933433024,1839667968,3.195,,
GNRC,0.30630207,0.18035269,,,1.0,0.903081,,4.0,9.953,,6.0,55.49,1.938,1534291200,139.258,1.0,1.106,361854016,0.19669001,11.829,2.327,4280354048,USD,,60789313,4.2,13.2119055,185076624,4017.0,,,0.35801998,584117000,0.01953,1.01421,Diversified Industrials,,,1514678400,,,,1,86400,,,1530316800,198856000,1577750400,7,286496992,0.16969,5.0,2.06,2,5.5752034,,0.11351,0.11351,0.882,buy,2.5,0.095249996,0.37248,0.253,29.788,,Industrials,7.0,61994500,0.053200003,3295946,1531440000,4177272,0.0638,6.51,60.0,49.0,56.71,58.0,,,111714000,1.802,933433024,1839667968,3.195,,
GNW,0.3687315,0.18035269,,,2.0,2.448375,,1.0,25.768,,4.0,4.65,1.501,1534291200,30.229,-0.051,-0.059,919500032,0.11248,6.1,0.686,5609154048,USD,,499202743,1.12,4.151786,2495000064,3500.0,,,0.11314999,1055000000,0.00342,0.66193,Insurance - Diversified,,,1514678400,,,,1,86400,,,1530316800,771000000,1577750400,1,1807000064,0.108260006,1.0,0.82,2,0.18045639,,0.093210004,0.093210004,0.213,hold,3.0,0.00533,0.05804,-0.029,16.361,,Financial Services,2.0,500680000,0.01,5017294,1531440000,6469910,0.0113,1.84,4.5,4.5,4.5,4.5,,,3000999936,5.994,4456000000,8175000064,1.522,,
GPC,0.17518687,0.18035269,,,1.0,1.185383,,7.0,23.931,,4.0,99.85,1.33,1534291200,89.182,0.194,0.195,1300007936,0.0734,13.512,0.992,17565065216,USD,,143789794,5.91,16.895094,370914112,48000.0,,,0.30907,4911998000,0.02826,0.80009,Specialty Retail,,,1514678400,861062400,3/2,,1,86400,,,1530316800,670172992,1577750400,7,924833984,0.0617,6.0,1.39,2,4.1724124,,0.037839998,0.037839998,0.535,hold,3.0,0.06215,0.19528,0.176,120.73,,Consumer Cyclical,8.0,146752992,0.0253,3706046,1531440000,4390143,0.0325,4.84,105.0,85.0,98.43,100.0,,,355140992,2.42,3176966912,17711341568,4.558,,
HLF,0.65144265,0.18035269,,,2.0,0.380142,,4.0,-5.298,,9.0,56.59,0.915,1534291200,,-0.235,-0.314,718000000,0.1547,13.564,2.098,9738645504,USD,,85113531,3.24,17.46605,443237504,8300.0,,,0.52429,2324900000,0.39244998,0.19905001,Household & Personal Products,,,1514678400,1526342400,2/1,,1,86400,,,1530316800,167600000,1577750400,5,658600000,0.13272999,6.0,-40.1,2,,,0.03611,0.03611,0.598,buy,2.2,0.13204001,,0.121,31.338,,Consumer Defensive,5.0,147100000,0.0829,13033698,1531440000,11650615,0.1024,8.53,75.0,53.0,63.6,65.0,,,839400000,5.706,2200699904,4641099776,1.063,,
HLF,0.65144265,0.18035269,,,2.0,0.380142,,4.0,-5.298,,9.0,56.59,0.915,1534291200,,-0.235,-0.314,718000000,0.1547,13.564,2.098,9738645504,USD,,85113531,3.24,17.46605,443237504,8300.0,,,0.52429,2324900000,0.39244998,0.19905001,Household & Personal Products,,,1514678400,1526342400,2/1,,1,86400,,,1530316800,167600000,1577750400,5,658600000,0.13272999,6.0,-40.1,2,,,0.03611,0.03611,0.598,buy,2.2,0.13204001,,0.121,31.338,,Consumer Defensive,5.0,147100000,0.0829,13033698,1531440000,11650615,0.1024,8.53,75.0,53.0,63.6,65.0,,,839400000,5.706,2200699904,4641099776,1.063,,
HLF,0.65144265,0.18035269,,,2.0,0.380142,,4.0,-5.298,,9.0,56.59,0.915,1534291200,,-0.235,-0.314,718000000,0.1547,13.564,2.098,9738645504,USD,,85113531,3.24,17.46605,443237504,8300.0,,,0.52429,2324900000,0.39244998,0.19905001,Household & Personal Products,,,1514678400,1526342400,2/1,,1,86400,,,1530316800,167600000,1577750400,5,658600000,0.13272999,6.0,-40.1,2,,,0.03611,0.03611,0.598,buy,2.2,0.13204001,,0.121,31.338,,Consumer Defensive,5.0,147100000,0.0829,13033698,1531440000,11650615,0.1024,8.53,75.0,53.0,63.6,65.0,,,839400000,5.706,2200699904,4641099776,1.063,,
HLF,0.65144265,0.18035269,,,2.0,0.380142,,4.0,-5.298,,9.0,56.59,0.915,1534291200,,-0.235,-0.314,718000000,0.1547,13.564,2.098,9738645504,USD,,85113531,3.24,17.46605,443237504,8300.0,,,0.52429,2324900000,0.39244998,0.19905001,Household & Personal Products,,,1514678400,1526342400,2/1,,1,86400,,,1530316800,167600000,1577750400,5,658600000,0.13272999,6.0,-40.1,2,,,0.03611,0.03611,0.598,buy,2.2,0.13204001,,0.121,31.338,,Consumer Defensive,5.0,147100000,0.0829,13033698,1531440000,11650615,0.1024,8.53,75.0,53.0,63.6,65.0,,,839400000,5.706,2200699904,4641099776,1.063,,
HP,0.5181631,0.18035269,,,1.0,1.369085,,9.0,40.778,,7.0,65.57,2.97,1534291200,11.113,,,548035968,0.23594,13.47,3.178,7382307328,USD,,105885703,1.12,58.544643,53005752,8118.0,,,0.32386002,555424000,0.02812,1.00737,Oil & Gas Drilling,,,1506729600,1152489600,2/1,,1,86400,,,1530316800,464420992,1569801600,23,475383008,0.00127,7.0,3.97,2,1.6079749,,0.19704,0.19704,2.4,hold,2.9,0.00029,0.107939996,0.301,21.356,,Energy,6.0,108944000,0.084300004,9179894,1531440000,9170707,0.1101,6.4,87.0,44.0,67.57,66.0,,,350704992,3.219,493700000,2322746880,4.144,,
ICHR,0.14904058,0.18035269,,,2.0,,,10.0,9.586,,9.0,25.93,2.105,1534291200,76.615,1.841,1.844,104621000,0.12244,7.163,0.877,749393280,USD,,21226197,3.83,6.770235,-2808125,1420.0,,,0.1753,105991000,0.01471,0.98769,Semiconductor Equipment & Materials,,,1514505600,,,,1,86400,,,1530230400,78254000,1577577600,6,61452000,0.10033,10.0,0.4,2,2.7049863,,0.09189,0.09189,0.961,buy,1.7,0.119890004,0.37535998,0.559,33.288,,Technology,6.0,24358700,0.3046,7419521,1531440000,8564519,0.2832,8.71,48.0,28.0,35.0,33.5,,,63419000,2.604,185575008,854457024,2.954,,
ICPT,-0.07090938,0.18035269,,,2.0,2.037789,,4.0,4.958,,8.0,111.8,6.513,1534291200,247.858,,,-306017984,-1.9299899,-10.048,19.393,3075007744,USD,,21865745,-8.36,-13.373207,-150244000,507.0,,,0.98746,129585000,0.26805001,0.71032995,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-340656000,1577750400,15,-268918016,-1.9625101,5.0,1.15,2,22.549416,,-2.14845,-2.14845,6.289,buy,2.4,-0.31865,-2.15414,0.411,6.053,,Healthcare,5.0,29564700,0.1354,4004133,1531440000,5271118,0.2232,6.03,253.0,57.0,123.07,115.0,,,538337984,18.209,363300000,158559008,-13.004,,
IDCC,0.1703651,0.18035269,,,1.0,0.879397,,1.0,29.317,,3.0,82.6,9.357,1534291200,28.174,-0.795,-0.796,290044992,0.63104,7.078,4.467,2052975104,USD,,34286123,1.3,63.538464,271935488,350.0,,,0.751,421781000,0.01402,0.77739,Telecom Services,,,1514678400,,,,1,86400,,,1530316800,128669000,1577750400,4,328440000,0.50565,1.0,3.49,2,2.817478,,0.27994,0.27994,9.186,strong_buy,1.5,0.084,0.13562,-0.488,13.248,,Communication Services,3.0,34811400,0.044499997,1548806,1531440000,1377663,0.0529,6.82,104.0,87.0,97.5,99.5,,,1100561024,31.615,291947008,459628000,3.618,,
IRT,-0.011549532,0.18035269,,,2.0,0.994645,,10.0,7.147,,6.0,10.33,4.382,1534291200,145.347,-0.852,-0.813,88605000,0.50586,20.171,10.204,1787233920,USD,,85506336,0.22,46.954544,-71826872,421.0,,,0.56481,90494000,0.00666,0.90142,REIT - Residential,,,1514678400,,,,1,86400,,,1530316800,14311000,1577750400,7,61988000,0.26955998,9.0,10.81,2,1.4453617,,0.0817,0.0817,0.725,buy,1.9,0.020350002,0.02547,0.185,2.138,,Real Estate,8.0,87319800,0.0493,4321942,1531440000,4478747,0.074200004,10.47,12.0,9.0,10.86,11.0,,,22651000,0.261,911772032,175156992,0.174,,
KGC,-0.36247337,0.18035269,,,2.0,0.583089,,4.0,3.69,,5.0,3.0,3.71,1534291200,37.292,-0.928,-0.927,1233600000,0.37263,3.679,1.371,4537897984,USD,,1240248408,0.16,18.75,119937504,8850.0,,,0.47395,1545600000,0.15206,0.0,Gold,,,1514678400,1044230400,1/3,,1,86400,,,1530316800,386200000,1577750400,17,1042099968,0.04223,3.0,1.34,2,0.8130081,,0.11666001,0.11666001,1.759,buy,2.4,0.01075,0.08545999,-0.108,2.653,,Basic Materials,1.0,1250230016,0.0075,9406595,1531440000,4666675,,1.41,6.0,3.25,4.69,4.75,,,969400000,0.775,1733799936,3310500096,0.309,,
KHC,-0.28256315,0.18035269,,,1.0,0.727011,,2.0,53.878,,9.0,58.27,1.045,1534291200,51.87,-0.34,-0.348,8118000128,0.30913,12.562,3.883,101978628096,USD,,622572532,3.88,15.018041,3337250048,39000.0,,,0.38014,10027000000,0.0014300001,0.88339996,Packaged Foods,,,1514592000,,,,1,86400,,,1530316800,10695999488,1577664000,21,934000000,0.27124,3.0,2.95,2,1.0815176,,0.4073,0.4073,0.609,buy,2.3,0.0369,0.17179,0.007,21.552,,Consumer Defensive,1.0,1219250048,0.0249,30352834,1531440000,33710707,0.0504,5.02,85.0,50.0,68.48,69.0,,,3368999936,2.763,34168000512,26261000192,8.715,,
KIM,-0.14040399,0.18035269,,,2.0,0.454608,,8.0,12.841,,5.0,17.11,3.852,1534291200,92.073,0.151,0.153,754926016,0.62517,15.935,9.962,12029908992,USD,,400603761,0.61,28.049181,470568992,546.0,,,0.74227995,889706000,0.027929999,0.88861,REIT - Retail,,,1514678400,1124841600,2/1,,1,86400,,,1530316800,453240992,1577750400,18,666132992,0.37797,7.0,3.82,2,1.3324509,,0.42681,0.42681,3.773,hold,2.8,0.02497,0.09369001,-0.013,2.856,,Real Estate,7.0,421382016,0.0367,15450234,1531440000,17273738,0.0465,4.26,21.0,13.0,17.33,17.0,,,305576992,0.725,5068716032,1207550976,1.068,,
PDLI,-0.22950822,0.18035269,,,2.0,0.144822,,4.0,4.882,,8.0,2.42,11.125,1534291200,16.972,,,245000,0.00207,273.4,0.567,66982896,USD,,131750193,0.12,20.166668,-12154375,92.0,,,0.58904,109452000,0.02725,0.89324,Biotechnology,,,1514678400,1002672000,2/1,,1,86400,,,1530316800,-67626000,1577750400,1,-40744000,-0.24339001,5.0,-0.28,2,0.4956985,,-0.57231,-0.57231,9.151,hold,3.0,-0.01599,-0.088319995,-0.396,0.787,,Healthcare,4.0,145400000,0.1294,18809128,1531440000,18972659,0.127,18.81,3.0,3.0,3.0,3.0,,,395652992,2.721,120945000,118162000,-0.45,,
PFE,0.22781062,0.18035269,,,2.0,0.957756,,5.0,11.9,,1.0,41.52,1.16,1534291200,58.509,0.274,0.26,21472999424,0.40328997,12.633,5.095,271270543360,USD,,5859412933,3.11,13.436893,14590374912,90200.0,,,0.79406,41956000000,0.0004,0.72661,Drug Manufacturers - Major,,,1514678400,930787200,3/1,,1,86400,,,1530403200,22545000448,1577750400,20,17475999744,0.28719,1.0,1.95,2,3.489076,,0.42345002,0.42345002,0.838,hold,2.8,0.05731,0.35081002,0.044,8.972,,Healthcare,1.0,5862110208,0.0089,52192249,1531440000,57638413,0.0088,2.41,48.0,34.0,41.8,42.5,,,13486999552,2.301,41028001792,53243998208,3.744,,
PFE,0.22781062,0.18035269,,,2.0,0.957756,,5.0,11.9,,1.0,41.52,1.16,1534291200,58.509,0.274,0.26,21472999424,0.40328997,12.633,5.095,271270543360,USD,,5859412933,3.11,13.436893,14590374912,90200.0,,,0.79406,41956000000,0.0004,0.72661,Drug Manufacturers - Major,,,1514678400,930787200,3/1,,1,86400,,,1530403200,22545000448,1577750400,20,17475999744,0.28719,1.0,1.95,2,3.489076,,0.42345002,0.42345002,0.838,hold,2.8,0.05731,0.35081002,0.044,8.972,,Healthcare,1.0,5862110208,0.0089,52192249,1531440000,57638413,0.0088,2.41,48.0,34.0,41.8,42.5,,,13486999552,2.301,41028001792,53243998208,3.744,,
PFE,0.22781062,0.18035269,,,2.0,0.957756,,5.0,11.9,,1.0,41.52,1.16,1534291200,58.509,0.274,0.26,21472999424,0.40328997,12.633,5.095,271270543360,USD,,5859412933,3.11,13.436893,14590374912,90200.0,,,0.79406,41956000000,0.0004,0.72661,Drug Manufacturers - Major,,,1514678400,930787200,3/1,,1,86400,,,1530403200,22545000448,1577750400,20,17475999744,0.28719,1.0,1.95,2,3.489076,,0.42345002,0.42345002,0.838,hold,2.8,0.05731,0.35081002,0.044,8.972,,Healthcare,1.0,5862110208,0.0089,52192249,1531440000,57638413,0.0088,2.41,48.0,34.0,41.8,42.5,,,13486999552,2.301,41028001792,53243998208,3.744,,
PFE,0.22781062,0.18035269,,,2.0,0.957756,,5.0,11.9,,1.0,41.52,1.16,1534291200,58.509,0.274,0.26,21472999424,0.40328997,12.633,5.095,271270543360,USD,,5859412933,3.11,13.436893,14590374912,90200.0,,,0.79406,41956000000,0.0004,0.72661,Drug Manufacturers - Major,,,1514678400,930787200,3/1,,1,86400,,,1530403200,22545000448,1577750400,20,17475999744,0.28719,1.0,1.95,2,3.489076,,0.42345002,0.42345002,0.838,hold,2.8,0.05731,0.35081002,0.044,8.972,,Healthcare,1.0,5862110208,0.0089,52192249,1531440000,57638413,0.0088,2.41,48.0,34.0,41.8,42.5,,,13486999552,2.301,41028001792,53243998208,3.744,,
PFE,0.22781062,0.18035269,,,2.0,0.957756,,5.0,11.9,,1.0,41.52,1.16,1534291200,58.509,0.274,0.26,21472999424,0.40328997,12.633,5.095,271270543360,USD,,5859412933,3.11,13.436893,14590374912,90200.0,,,0.79406,41956000000,0.0004,0.72661,Drug Manufacturers - Major,,,1514678400,930787200,3/1,,1,86400,,,1530403200,22545000448,1577750400,20,17475999744,0.28719,1.0,1.95,2,3.489076,,0.42345002,0.42345002,0.838,hold,2.8,0.05731,0.35081002,0.044,8.972,,Healthcare,1.0,5862110208,0.0089,52192249,1531440000,57638413,0.0088,2.41,48.0,34.0,41.8,42.5,,,13486999552,2.301,41028001792,53243998208,3.744,,
PNC,0.16140234,0.18035269,,,1.0,1.010505,,4.0,92.295,,1.0,143.54,,1534291200,,0.293,0.238,,0.0,,7.413,121523748864,USD,,461428311,11.65,12.32103,,51382.0,,,0.0,15888000000,0.0021600001,0.82205003,Banks - Regional - US,,,1514678400,721872000,2/1,,1,86400,,,1530316800,5504999936,1577750400,22,8017999872,0.35167,1.0,1.16,2,1.5552305,,0.35192,0.35192,,buy,2.4,0.01544,0.12477,0.071,34.621,,Financial Services,4.0,464302016,0.0086,3984957,1531440000,4488637,0.0085,1.93,173.0,146.0,158.68,158.5,,,9927000064,21.38,60640002048,16392999936,11.495,,
PNC,0.16140234,0.18035269,,,1.0,1.010505,,4.0,92.295,,1.0,143.54,,1534291200,,0.293,0.238,,0.0,,7.413,121523748864,USD,,461428311,11.65,12.32103,,51382.0,,,0.0,15888000000,0.0021600001,0.82205003,Banks - Regional - US,,,1514678400,721872000,2/1,,1,86400,,,1530316800,5504999936,1577750400,22,8017999872,0.35167,1.0,1.16,2,1.5552305,,0.35192,0.35192,,buy,2.4,0.01544,0.12477,0.071,34.621,,Financial Services,4.0,464302016,0.0086,3984957,1531440000,4488637,0.0085,1.93,173.0,146.0,158.68,158.5,,,9927000064,21.38,60640002048,16392999936,11.495,,
PNC,0.16140234,0.18035269,,,1.0,1.010505,,4.0,92.295,,1.0,143.54,,1534291200,,0.293,0.238,,0.0,,7.413,121523748864,USD,,461428311,11.65,12.32103,,51382.0,,,0.0,15888000000,0.0021600001,0.82205003,Banks - Regional - US,,,1514678400,721872000,2/1,,1,86400,,,1530316800,5504999936,1577750400,22,8017999872,0.35167,1.0,1.16,2,1.5552305,,0.35192,0.35192,,buy,2.4,0.01544,0.12477,0.071,34.621,,Financial Services,4.0,464302016,0.0086,3984957,1531440000,4488637,0.0085,1.93,173.0,146.0,158.68,158.5,,,9927000064,21.38,60640002048,16392999936,11.495,,
PNC,0.16140234,0.18035269,,,1.0,1.010505,,4.0,92.295,,1.0,143.54,,1534291200,,0.293,0.238,,0.0,,7.413,121523748864,USD,,461428311,11.65,12.32103,,51382.0,,,0.0,15888000000,0.0021600001,0.82205003,Banks - Regional - US,,,1514678400,721872000,2/1,,1,86400,,,1530316800,5504999936,1577750400,22,8017999872,0.35167,1.0,1.16,2,1.5552305,,0.35192,0.35192,,buy,2.4,0.01544,0.12477,0.071,34.621,,Financial Services,4.0,464302016,0.0086,3984957,1531440000,4488637,0.0085,1.93,173.0,146.0,158.68,158.5,,,9927000064,21.38,60640002048,16392999936,11.495,,
