,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
AMTD,0.3802353,0.18035269,,,1.0,1.426188,,6.0,13.972,,7.0,58.57,1.131,1534291200,33.178,0.806,0.952,,0.0,,6.026,29781379072,USD,,272080569,3.94,14.865482,,9912.0,,,0.92695,3325000000,0.09184,0.92114997,Capital Markets,,,1506729600,931219200,3/1,,1,86400,,,1530316800,1230000000,1569801600,14,110000000,0.41926,6.0,0.57,2,4.191955,,0.24889,0.24889,1.128,buy,2.1,0.03638,0.18364,0.486,8.853,,Financial Services,8.0,567649984,0.019199999,10905041,1531440000,7919152,0.0414,5.07,77.0,60.0,68.32,68.25,,,6150000128,10.834,2632999936,4942000128,2.19,,
AMZN,1.0744247,0.18035269,,,1.0,1.614361,,9.0,71.858,,9.0,2012.71,1.072,1534291200,130.844,11.675,11.863,20630999040,0.099130005,48.247,4.783,995382198272,USD,,408468614,25.37,79.33425,11023250432,575700.0,,,0.38782,65932000000,0.16243,0.58422,Specialty Retail,,,1514678400,936230400,2/1,,1,86400,,,1530316800,6274999808,1577750400,42,21862000640,0.03548,7.0,2.51,2,28.009546,,0.030150002,0.030150002,0.767,buy,1.7,0.0416,0.2156,0.393,430.455,,Consumer Cyclical,1.0,487740992,0.0099,4824106,1531440000,4178272,0.0148,0.95,2500.0,980.0,2127.17,2120.0,,,27050000384,55.46,45788999680,208125001728,12.627,,
ANDV,0.5474944,0.18035269,,,1.0,0.978752,,5.0,66.631,,4.0,152.79,1.417,1534291200,64.318,10.053,11.875,3432999936,0.080249995,10.217,0.82,35074670592,USD,,142094440,12.23,12.49305,477249984,14300.0,,,0.18205999,6495000000,0.06555,0.79941005,Oil & Gas Refining & Marketing,,,1514678400,1180483200,2/1,,1,86400,,,1530316800,2108999936,1577750400,13,1956999936,0.06071,4.0,0.44,2,2.2930768,,0.04968,0.04968,0.596,hold,2.7,0.05685,0.17791,0.621,277.586,,Energy,5.0,151076000,0.0235,3546619,1531440000,3682196,0.028099999,3.24,183.0,133.0,154.15,150.0,,,388000000,2.568,8725999616,42775998464,13.661,,
ANDX,0.003861785,0.18035269,,,,1.772223,,,12.795,,,48.58,0.919,1534291200,129.234,0.001,1.114,1095000064,0.33404,14.3,4.777,15658964992,USD,,78376995,3.34,14.544911,473624992,518.0,,,0.37614,1097000000,0.72411,0.40925,Oil & Gas Midstream,,,1514678400,,,,1,86400,,,1530316800,410000000,1577750400,13,852000000,0.23612,,1.27,2,3.7967958,,0.13911,0.13911,0.865,hold,2.6,0.06814,0.17718,-0.082,18.071,,Energy,,245472992,0.0138,3391418,1531440000,1442325,0.0382,4.11,56.0,42.0,49.62,51.0,,,44000000,0.203,4371999744,3278000128,2.26,,
ANET,0.6998801,0.18035269,,,2.0,1.578977,,9.0,22.997,,9.0,298.98,3.17,1534291200,2.127,,,606089984,0.31936002,33.764,10.783,20463923200,USD,,51621611,8.51,35.132786,730535232,1800.0,,,0.64525,1061769000,0.29516,0.55602,Computer Systems,,,1514678400,,,,1,86400,,,1530316800,226536000,1577750400,25,715657024,0.3078,9.0,1.81,2,13.000827,,0.11951999,0.11951999,2.566,buy,2.2,0.14618,0.14739999,0.283,25.784,,Technology,7.0,74823696,0.0305,2284723,1531440000,2629210,0.0403,3.13,458.0,180.0,296.28,305.0,,,1860403968,24.864,36594000,1897833984,2.946,,
ANF,0.71744084,0.18035269,,,1.0,0.341344,,1.0,16.723,,1.0,21.67,2.249,1534291200,25.893,,,346364000,0.09553,3.637,0.347,1259579392,USD,,67526503,0.99,21.88889,,7000.0,,,0.59942,2083842000,0.0080699995,1.09806,Apparel Stores,,,1517616000,929491200,2/1,,1,86400,,,1533340800,37971000,1580688000,12,,0.041929998,1.0,1.46,2,1.2958201,,0.01047,0.01047,1.217,hold,3.1,0.042329997,0.03615,0.081,53.016,,Consumer Cyclical,3.0,67790496,0.17709999,12009065,1531440000,12078683,0.237,6.17,32.0,13.0,22.83,24.5,,,581166016,8.546,297091008,3625583104,0.543,,
ANTM,0.34400046,0.18035269,,,1.0,1.051424,,3.0,110.424,,4.0,264.73,1.525,1534291200,69.312,0.259,0.232,6082800128,0.067150004,10.616,0.713,64577523712,USD,,259657331,17.1,15.481287,4992387584,56000.0,,,0.2101,17812400000,0.0016500001,0.90310997,Health Care Plans,,,1514678400,1117584000,2/1,,1,86400,,,1530316800,4343499776,1577750400,18,3860600064,0.06084,6.0,1.1,2,2.3973956,,0.04795,0.04795,1.366,buy,1.9,0.048299998,0.1575,0.023,351.225,,Healthcare,9.0,259954000,0.0154,3995875,1531440000,3842782,0.0149,3.75,345.0,258.0,290.5,287.0,,,24222699520,93.181,19909900288,90580803584,16.432,,
ANW,-0.6326531,0.18035269,,,,3.691891,,,14.741,,,1.78,8.631,1534291200,174.425,,,66321320,0.01169,15.189,0.178,1007375296,USD,,24933739,1.26,1.4126984,,,,,0.05116,290307000,0.19440001,0.34324002,Oil & Gas Integrated,,,1514678400,,,,1,86400,,,1514678400,-29307000,1577750400,1,,0.00399,,0.31,2,0.12075164,,-0.0051599997,-0.0051599997,5.572,buy,2.0,0.0084,-0.050180003,0.141,147.148,,Energy,,40640400,0.1407,4229091,1531440000,4295525,,5.45,6.0,6.0,6.0,6.0,,,71079000,1.813,1007896000,5674287104,-0.76,,
AOBC,-0.40098095,0.18035269,,,1.0,-0.299052,,4.0,7.846,,2.0,14.03,2.599,1534291200,45.548,,,95051000,0.15414,7.37,1.136,700485952,USD,,53433974,0.72,19.48611,89083376,1994.0,,,0.33737,196252000,0.021189999,0.68403,Aerospace & Defense,,,1525046400,910137600,4/1,,1,86400,,,1532995200,29938000,1588204800,6,106774000,0.07296,2.0,1.3,2,1.7881722,,0.04855,0.04855,0.722,buy,2.0,0.03737,0.07326,0.076,11.384,,Industrials,3.0,54384400,0.038399998,2089420,1531440000,2632286,0.044,2.67,17.0,12.0,15.08,15.0,,,25238000,0.464,194343008,616662016,0.547,,
AOS,0.05311489,0.18035269,,,1.0,1.48669,,10.0,10.142,,5.0,58.08,2.151,1534291200,14.338,0.245,0.239,620499968,0.19761999,15.421,3.047,9568479232,USD,,141267376,2.93,19.822525,293562496,16100.0,,,0.41279998,1238700000,0.00906,0.94686997,Diversified Industrials,,,1514678400,1475712000,2/1,,1,86400,,,1530316800,329700000,1577750400,7,426400000,0.17495,10.0,1.98,2,5.726681,,0.10501,0.10501,1.694,buy,2.0,0.113129996,0.19719,0.129,18.284,,Industrials,10.0,144544000,0.0347,5928488,1531440000,5410748,0.0461,3.87,75.0,52.5,69.07,71.0,,,658400000,3.859,248100000,3139800064,1.897,,
APA,0.12582457,0.18035269,,,1.0,1.646509,,1.0,19.976,,1.0,43.83,1.358,1534291200,92.685,-0.66,-0.659,4012000000,0.61562,6.429,3.958,25793114112,USD,,381518264,1.78,24.623596,-47375000,3356.0,,,0.77152,4363000000,0.00226,0.99922997,Oil & Gas E&P,,,1514678400,1074124800,2/1,,1,86400,,,1530316800,859000000,1577750400,26,2950000128,0.2116,1.0,0.19,2,2.194133,,0.13181,0.13181,1.046,hold,3.0,0.03873,0.12722999,0.372,17.06,,Energy,5.0,382486016,0.0789,30172352,1531440000,31351246,0.0791,9.92,67.0,36.0,49.06,48.5,,,972000000,2.541,8336999936,6517000192,2.239,,
APC,0.55376077,0.18035269,,,2.0,1.856898,,4.0,17.747,,3.0,64.4,0.854,1534291200,152.318,,,4792999936,0.40460998,10.601,4.289,50810236928,USD,,510723185,3.89,16.55527,-836000000,4400.0,,,0.72556,7495000000,0.00333,0.8857,Oil & Gas E&P,,,1514678400,1148947200,2/1,,1,86400,,,1530316800,417000000,1577750400,30,4684000256,0.02178,6.0,1.83,2,3.6287825,,0.03604,0.03604,0.783,buy,1.9,0.00378,0.045050003,0.31,22.457,,Energy,6.0,512075008,0.0235,12041331,1531440000,11766638,0.0234,2.38,102.0,70.0,85.83,86.0,,,2340000000,4.57,17508999168,11845999616,0.786,,
ARCH,0.14585507,0.18035269,,,2.0,,,1.0,32.53,,9.0,88.67,2.534,1534291200,49.566,0.392,0.165,381463008,0.16638,4.292,0.714,1637164928,USD,,17969996,9.99,8.875875,264275632,3790.0,,,0.20241,481530000,0.34351003,0.0,Coal,,,1514678400,,,,1,86400,,,1530316800,252912992,1577750400,8,340670016,0.087749995,3.0,,2,2.7257917,,0.11031,0.11031,1.813,buy,2.2,0.06161,0.35471,0.077,106.28,,Basic Materials,1.0,19587500,0.086899996,1702446,1531440000,1502356,0.0975,6.47,116.0,92.0,102.25,102.0,,,402484000,20.548,317689984,2292726016,11.316,,
ARNA,0.7115809,0.18035269,,,1.0,2.680239,,1.0,11.324,,5.0,38.84,28.746,1534291200,10.696,,,-95981000,0.0,-14.435,58.889,1385530112,USD,,46719411,-3.49,-11.12894,-69629752,159.0,,,-2.66678,-49651000,0.00153,0.84376,Biotechnology,,,1514678400,1497830400,1/10,,1,86400,,,1530316800,-111924000,1577750400,9,-91960000,-4.24902,2.0,0.64,2,3.4298832,,0.0,0.0,28.484,buy,1.8,-0.15112,-0.35084,1.104,0.565,,Healthcare,3.0,49348200,0.061,3008350,1531440000,3299411,0.0687,5.39,79.0,45.0,61.67,62.0,,,592406976,12.005,59773000,23528000,-2.638,,
ARNC,-0.09512097,0.18035269,,,1.0,,,3.0,10.661,,5.0,22.38,2.041,1534291200,121.828,-0.422,-0.434,1751000064,0.12946,8.926,1.156,15629810688,USD,,429506119,1.6,13.987499,399375008,41500.0,,,0.18514,2603000000,0.00338,0.84717005,Diversified Industrials,,,1514678400,1477958400,1334/1000,,1,86400,,,1530316800,-364000000,1577750400,10,757000000,0.08754,2.0,0.84,2,2.09924,,-0.025510002,-0.025510002,1.039,buy,2.3,0.03965,-0.06289,0.096,28.624,,Industrials,3.0,482955008,0.0253,12208611,1531440000,13225020,0.028299998,2.91,28.0,20.0,23.8,24.5,,,1455000064,3.013,6357000192,13525000192,-0.837,,
ARQL,4.534483,0.18035269,,,,0.304121,,,0.283,,,6.63,5.985,1534291200,53.593,,,-12190000,-0.68314004,-54.728,37.387,667131072,USD,,81264524,-0.28,-23.678572,-9239000,31.0,,,-0.22674,,0.048979998,0.72025,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-15802000,1577750400,6,-12381000,-0.68606,,-10.7,2,23.427563,,-0.88556,-0.88556,5.91,buy,1.7,-0.18672001,-0.84661,,0.212,,Healthcare,,108817000,0.0561,6101506,1531440000,6668513,0.1432,4.14,7.25,6.75,7.0,7.0,,,46075000,0.423,14601000,17844000,-0.191,,
ARRY,0.57857144,0.18035269,,,1.0,1.991117,,2.0,1.04,,9.0,15.57,4.707,1534291200,50.866,,,-127691000,-1.3758299,-23.289,32.041,2973755904,USD,,194963138,-0.34,-45.794117,-56821124,298.0,,,0.36026,33436000,0.00657,0.95489997,Biotechnology,,,1530316800,,,,1,86400,,,1530316800,-147346000,1593475200,7,-119783000,-1.39992,6.0,-2.15,2,14.971154,,-1.58761,-1.58761,4.634,buy,1.6,-0.21962,-1.27313,0.66,0.468,,Healthcare,7.0,212552000,0.0638,13512252,1531440000,14392700,0.0922,6.38,33.0,18.0,23.57,23.0,,,412487008,1.949,111775000,92810000,-0.742,,
ARWR,3.8484845,0.18035269,,,1.0,2.118517,,9.0,1.165,,9.0,14.76,8.681,1534291200,2.337,,,-50391936,0.0,-23.989,88.881,1208876544,USD,,71635879,-0.55,-26.836363,-34584976,93.0,,,1.0,31407709,0.08242,0.59099996,Biotechnology,,,1506729600,1321488000,1/10,,1,86400,,,1530316800,-54421092,1569801600,6,-53746572,-4.04506,8.0,-3.17,2,12.669529,,0.0,0.0,8.488,buy,1.8,-0.30165002,-0.56895,-0.922,0.169,,Healthcare,4.0,88023200,0.15720001,13841228,1531440000,12328878,0.162,7.75,20.0,6.0,16.08,17.75,,,60480096,0.687,2378538,13601107,-0.681,,
ASML,0.32549572,0.18035269,,,1.0,1.159473,,1.0,33.635,,2.0,205.05,2.687,1534291200,24.902,0.735,0.714,3778813184,0.31889,23.119,7.373,87363985408,EUR,,425155611,8.03,25.535494,1500029952,17994.0,,,0.4286,3787300000,0.0,0.16798,Semiconductor Equipment & Materials,,,1514678400,1354147200,1/1,,1,86400,,,1530403200,3033698304,1577750400,5,3197726208,0.28974,1.0,1.44,2,6.0963287,,0.25601,0.25601,1.567,buy,2.0,0.09389,0.22155,0.396,27.687,,Technology,4.0,425308992,0.006,2542642,1531440000,2992908,,2.37,261.0,64.38,204.08,235.0,,,3471610624,8.163,3562245376,11849958400,7.064,,
ASNA,1.2727273,0.18035269,,,2.0,1.541035,,4.0,3.965,,2.0,4.58,1.277,1534291200,200.171,,,489400000,0.07564,4.136,0.313,2024077056,USD,,130782020,-0.01,-458.0,230050000,16000.0,,,0.5762,3859600000,0.12495,0.96035004,Apparel Stores,,,1501286400,1333497600,2/1,,1,86400,,,1524873600,-88700000,1564358400,4,290900000,0.01841,2.0,-3.06,2,1.1551071,,-0.013710001,-0.013710001,0.382,hold,3.4,0.01928,-0.11131,-0.039,33.061,,Consumer Cyclical,3.0,191916000,0.22209999,43580552,1531440000,42570569,0.2511,23.79,5.0,1.5,3.38,3.5,,,362800000,1.891,1523299968,6470099968,-0.453,,
ASUR,0.38103914,0.18035269,,,,0.716262,,,6.673,,,15.03,1.544,1534291200,113.679,,,14044000,0.19531,21.057,4.113,295729440,USD,,12287929,0.81,18.555555,91875,315.0,,,0.72002,41823000,0.13111,0.70112,Software - Application,,,1514678400,1335830400,3/2,,1,86400,,,1530316800,-8519000,1577750400,9,-1423000,0.07315,,0.9,2,2.2523603,,-0.11847,-0.11847,0.841,buy,1.7,0.013789999,-0.10305,0.69,5.698,,Technology,,15222700,0.1769,2692634,1531440000,2680324,0.271,11.91,25.0,20.0,21.78,22.0,,,46845000,3.077,113777000,71906000,-0.684,,
ATEN,0.042105198,0.18035269,,,2.0,1.210878,,10.0,1.372,,9.0,6.97,2.198,1534291200,,,,-1861000,-0.007900001,-149.352,1.181,277943904,USD,,39978068,0.16,43.5625,14392250,835.0,,,0.77352995,182111000,0.14962,0.65542,Software - Infrastructure,,,1514678400,,,,1,86400,,,1514678400,-10751000,1577750400,1,14314000,-0.044060003,9.0,10.04,2,5.080175,,-0.04566,-0.04566,1.935,hold,3.0,-0.029360002,-0.1187,-0.021,3.361,,Technology,7.0,70751400,0.0123000005,847294,1531440000,925956,,3.66,7.0,7.0,7.0,7.0,,,131134000,2.221,0,235428992,-0.153,,
ATHX,0.09139788,0.18035269,,,1.0,-0.361008,,6.0,0.406,,8.0,2.06,4.733,1534291200,,,,-23718000,-1.07682,-9.612,10.35,227971856,USD,,124574249,-0.34,-6.058823,-18798376,66.0,,,-0.65795,-24133000,0.10669,0.22201,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-23565000,1577750400,3,-14243000,-1.10992,5.0,-0.4,2,5.0738916,,-1.06987,-1.06987,4.276,strong_buy,1.5,-0.2893,-0.57291,27.985,0.176,,Healthcare,2.0,138584000,0.0797,11045031,1531440000,11039761,0.096,23.85,9.0,6.0,7.33,7.0,,,53353000,0.385,0,22026000,-0.189,,
ATRS,0.17218542,0.18035269,,,2.0,-0.388721,,2.0,0.157,,6.0,3.54,2.331,1534291200,101.404,,,-16155000,-0.2887,-34.264,9.892,553535936,USD,,132733308,0.05,70.799995,-9277396,111.0,,,0.46787998,27049000,0.07718,0.39169,Medical Instruments & Supplies,,,1514678400,917568000,1/5,,1,86400,,,1530316800,-19880000,1577750400,5,-23081000,-0.33051997,5.0,-0.41,2,22.54777,,-0.35527,-0.35527,1.788,strong_buy,1.4,-0.14711,-0.61234003,0.056,0.357,,Healthcare,7.0,157436992,0.0367,5773473,1531440000,6263498,0.0404,5.22,5.0,3.85,4.32,4.25,,,28782000,0.183,24992000,55957000,-0.127,,
ATUS,-0.40519828,0.18035269,,,,,,,5.237,,,17.92,0.324,1534291200,598.003,,,3968378112,0.42324,9.049,3.83,35908505600,USD,,293714612,0.37,48.43243,2042799872,9047.0,,,0.66926,6271295000,0.26331,1.46604,Telecom Services,,,1514678400,,,,1,86400,,,1530316800,1823100032,1577750400,22,2366383104,0.11328,,4.88,2,3.4218063,,0.19444,0.19444,0.26,buy,2.0,0.01898,0.51157004,0.018,12.715,,Communication Services,,492812000,0.0123000005,9054734,1531440000,12133702,0.119799994,1.92,35.0,20.0,25.61,25.0,,,381508992,0.518,23125946368,9376195584,2.472,,
ATVI,0.13912368,0.18035269,,,1.0,0.654288,,9.0,13.574,,10.0,72.1,2.978,1534291200,42.471,0.625,0.654,2241999872,0.30848,24.94,7.694,55916474368,USD,,753640888,3.04,23.717106,2177874944,9625.0,,,0.65217,4516000000,0.05999,0.89786005,Electronic Gaming & Multimedia,,,1514678400,1220832000,2/1,,1,86400,,,1530316800,506000000,1577750400,26,2075000064,0.21147,9.0,1.87,2,5.311625,,0.06962,0.06962,2.617,buy,2.0,0.05526,0.05045,0.006,9.588,,Technology,3.0,762409024,0.018099999,13792763,1531440000,9898607,0.0211,2.24,93.0,62.0,80.69,82.0,,,4972000256,6.521,4393999872,7267999744,0.657,,
AUPH,-0.13492072,0.18035269,,,,1.460866,,,1.666,,,5.58,30.299,1534291200,,,,-52310000,0.0,-6.018,2623.32,314798464,USD,,47808769,-0.55,-10.145454,-25466876,33.0,,,0.0,-33511000,,,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-47637000,1577750400,7,-44125000,-448.625,,,2,3.3493397,,0.0,0.0,29.651,buy,1.7,-0.17914,-0.29714,-0.912,0.001,,Healthcare,,83485000,0.0999,8522246,1531440000,8141537,,22.14,14.0,9.0,11.5,11.5,,,150200992,1.76,0,120000,-0.565,,
AUY,-0.123417735,0.18035269,,,10.0,1.35703,,7.0,4.353,,4.0,2.78,1.045,1534291200,41.74,,,613800000,0.33117,6.971,2.309,4278938112,USD,,946096979,0.19,14.631579,120187504,5372.0,,,0.44065,761400000,,,Gold,,,1514678400,,,,1,86400,,,1530316800,-296400000,1577750400,12,533400000,-0.16455999,5.0,0.62,2,0.63864,,-0.15991999,-0.15991999,0.248,hold,2.6,-0.0223,-0.07072,0.008,1.954,,Basic Materials,1.0,949012992,0.0085,8087212,1531440000,3043659,,0.58,4.92,2.8,3.92,3.9,,,123200000,0.13,1738599936,1853400064,-0.32,,
