,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
0,0.2696245733788398,0.032818395386915444,0.1153136531365313,0.2635429367705977,-0.01465049637362896,ABMD,16667000,-7871000,592081000,44536000,566000,-3619000,-4061000,5561000,18608000,-692000,142.97,442000,21627000,106798000,16016000,2857000,,,32143000,,-346000,0.54,0.16,0.38,,34332000,111196000,32484000,7981000,,,40632000,-35514000,,68554000,1,,,-193000,24503000,24503000,24503000,57327000,570554000,,144.02,32143000,123900000,-19237000,,,11538000,,11299000,,-11802000,97697000,2017-09-30,18973000,90164000,60080000,15961000,218661000,0.42099997,2017-07-27,694653000,1140000,43157000,-43385000,370170000,63358000,89767000,100680000,341000,132823000,604886000,-77801000
1,0.40501762728539803,0.04672611776203284,0.19864307197314135,0.3089673082798656,0.046851513357887294,ABMD,21991000,-26493000,605697000,50502000,5966000,-7518000,-6611000,3498000,44217000,6884000,179.59,443000,24994000,75201000,16241000,2780000,,,45354000,,-622000,0.29,-0.22,0.51,,34814000,129028000,45654000,32208000,,,46891000,-25221000,,62085000,1,,,-140000,13446000,13446000,13446000,64862000,597668000,,177.0,45354000,92528000,19237000,,,12807000,,11767000,,-10646000,107977000,2017-12-31,17118000,103610000,66556000,,250751000,-0.431,2017-10-26,719602000,1606000,56696000,-51714000,422198000,75353000,87120000,108668000,300000,154022000,632482000,-77268000
2,1.2092695308827675,0.22084264117616503,0.30933808780922667,0.60103556342826,0.07431767660797466,ABMD,23565000,-11695000,619905000,42975000,-7527000,-4947000,-3712000,4977000,19914000,415000,253.13,444000,30098000,70746000,16705000,2905000,,,47634000,,1978000,0.8,0.16,0.64,,35808000,144338000,48507000,11660000,,,50204000,-56760000,,50102000,1,,,,36847000,36847000,36847000,70010000,653716000,,238.0,47634000,89027000,-20317000,,,16301000,,12169000,,-4204000,117167000,2018-03-31,21203000,140457000,75501000,,319274000,0.25,2018-02-01,786375000,2551000,56399000,-68455000,494271000,84682000,96851000,126802000,873000,174436000,689524000,-71282000
3,1.2500744712540959,0.047170138287179864,0.28570212765957437,0.6834187653220414,0.10494009234826517,ABMD,25673000,-15147000,637974000,61288000,18313000,1930000,-7794000,-168000,-31655000,-8707000,335.57,449000,30850000,115049000,15837000,2959000,,,46589000,,-1285000,1.95,1.13,0.82,,33948000,149160000,48487000,-41579000,,,55781000,49914000,,20687000,1,,,,90066000,90066000,90066000,67511000,689411000,,310.0,46589000,132783000,,,,13161000,,12002000,,-10913000,127324000,2018-06-30,21432000,230523000,81139000,,299228000,1.378,2018-05-03,812039000,-61800000,46631000,34767000,497297000,76678000,88680000,133421000,1898000,180010000,723359000,-145587000
0,0.5272851296043657,0.10105729038603384,0.19860813704496794,-0.04438753734528378,0.04241072734936271,AMTD,28383000000,-56000000,3369000000,1472000000,-1408000000,-438000000,,-222000000,13000000,421000000,46.72,7000000,71000000,,,50000000,,-94000000,0,,,0.39,-0.07,0.46,,4213000000,889000000,338000000,127000000,1470000000,,,-62000000,2555000000,649000000,1,,,-288000000,211000000,211000000,211000000,18796000000,1564000000,,46.0,434000000,230000000,-54000000,,5000000,111000000,,193000000,26000000,-24000000,752000000,2017-09-30,,6011000000,379000000,2655000000,11014000000,-0.152,2017-07-18,38627000000,-37000000,35000000,-1406000000,31313000000,28632000000,31380000000,526000000,-96000000,960000000,7247000000,-2140000000
1,0.29827400215749744,0.02578308118474326,0.02490951671279551,0.233094262295082,0.03790957307322019,AMTD,28812000000,-63000000,3375000000,1644000000,172000000,-1385000000,,612000000,13000000,5000000,50.0,7000000,99000000,,,72000000,,-119000000,0,,,0.8,0.3,0.5,,4197000000,1138000000,303000000,6000000,1432000000,,,708000000,2531000000,2000000,1,,,50000000,297000000,297000000,297000000,20287000000,1804000000,,49.71,494000000,325000000,2000000,,,279000000,,182000000,31000000,-19000000,780000000,2017-12-31,,6189000000,541000000,2695000000,10729000000,0.6,2017-10-24,39412000000,-75000000,-386000000,633000000,32676000000,29266000000,31979000000,743000000,-191000000,1237000000,7433000000,-2138000000
2,0.20952380952380945,0.08547008547008561,0.17915171977210376,0.18817775887731236,0.012625756765671355,AMTD,27613000000,-56000000,3387000000,1373000000,-271000000,-2415000000,,-1274000000,34000000,3436000000,56.59,7000000,102000000,,,72000000,,-119000000,0,,,0.73,-0.01,0.74,,4202000000,1289000000,372000000,101000000,1395000000,,,-392000000,2477000000,293000000,1,,,171000000,271000000,271000000,271000000,22665000000,1998000000,,57.23,508000000,355000000,-2000000,,44000000,208000000,,131000000,89000000,-20000000,801000000,2018-03-31,,6341000000,620000000,2857000000,7276000000,-0.0139999995,2018-01-23,38410000000,45000000,124000000,-440000000,31364000000,28207000000,30815000000,883000000,-136000000,1391000000,7595000000,-2140000000
3,0.6134985499604535,0.07803417297868598,0.09520400858983535,0.29141169023000635,-0.03559331320250377,AMTD,26658000000,-47000000,3395000000,1343000000,-30000000,-1662000000,,-1038000000,42000000,2487000000,59.06,7000000,88000000,,,69000000,,-119000000,0,,,0.89,0.09,0.8,,4198000000,1266000000,603000000,152000000,1363000000,,,,2456000000,391000000,1,,,-221000000,451000000,451000000,451000000,24267000000,2375000000,,58.35,647000000,286000000,-1000000,,78000000,117000000,,163000000,29000000,-21000000,778000000,2018-06-30,,6673000000,521000000,2633000000,4804000000,0.111999996,2018-04-24,37511000000,-344000000,349000000,-35000000,30495000000,26956000000,29575000000,707000000,-44000000,1354000000,7936000000,-2139000000
0,0.11223790598876238,0.0908602150537634,0.017042606516290748,0.23681804327948774,-0.054697177057258024,FTNT,44543000,-21753000,912053000,905794000,52657000,13545000,7935000,64534000,36459000,-7410000,38.42,175000,93649000,204721000,,13716000,,,34096000,,,0.28,0.05,0.23,,14553000,280568000,37906000,11296000,18291000,,73595000,-7161000,,259975000,1,,,-9500000,26610000,26610000,26610000,257999000,869381000,,39.55,34096000,211918000,,,,750175000,,582415000,,-416000,239891000,2017-09-30,53486000,-9587000,192986000,,369961000,0.21700001,2017-07-27,2395279000,-80772000,162343000,-28914000,1650651000,910639000,1493054000,340121000,3810000,374217000,902225000,-416000
1,0.3286944996686547,0.11668059036480094,0.07018948492127053,0.028205128205128327,-0.034503676333673614,FTNT,70009000,-13671000,909636000,811004000,-94790000,-89902000,-8264000,204073000,35472000,23064000,38.74,168000,105419000,146932000,,14268000,,,43098000,,,0.32,0.03,0.29,,14553000,311249000,45078000,74039000,16255000,,77291000,78951000,,110122000,1,,,-9500000,-28961000,-28961000,-28961000,348185000,558569000,,37.27,43098000,154771000,,,,815255000,,641316000,,-847000,245395000,2017-12-31,54774000,-319580000,213377000,,440273000,0.103,2017-10-27,2257916000,-317612000,157542000,65280000,1716820000,1027223000,1668539000,373570000,1980000,416668000,589377000,-847000
2,0.161983032873807,-0.00612244897959191,0.13519813519813506,0.1897394136807815,0.059993643443427856,FTNT,55700000,-11600000,957900000,835600000,24600000,48900000,-7300000,40900000,36900000,-47500000,46.54,200000,97200000,138700000,148700000,13200000,,,32400000,,,0.33,0.09,0.24,,14600000,301800000,36700000,-4900000,14500000,,80000000,-13900000,,94600000,1,,,-9500000,41600000,41600000,41600000,313100000,664400000,,45.27,32400000,296100000,,,,836100000,,677500000,,-2000000,245100000,2018-03-31,59100000,-262600000,210300000,,468300000,0.375,2018-02-06,2400700000,-89600000,139700000,-25500000,1735800000,1029700000,1707200000,366600000,4300000,399000000,693500000,-2000000
3,0.4306476287608363,0.02784392745924147,0.2232395901460651,0.4237503171783812,-0.024719346150347515,FTNT,63700000,-11600000,996100000,972100000,136500000,-20000000,-3500000,73000000,40800000,-27900000,54.74,200000,113100000,141900000,160600000,13600000,,,50700000,,,0.41,0.05,0.36,,25100000,328200000,51500000,2200000,21400000,,78200000,24600000,,77400000,1,,,-9500000,49300000,49300000,49300000,333600000,733700000,,55.77,50700000,311000000,,,,871200000,,710300000,,-1400000,256000000,2018-06-30,61200000,-214700000,216300000,,461600000,0.139,2018-05-04,2575700000,-12800000,142300000,7000000,1884800000,1085200000,1795500000,390600000,800000,441300000,780200000,-1400000
0,2.127952755905512,12.466101694915256,7.233160621761659,3.5530085959885387,0.07046022318090116,FTR,509000000,-282000000,5124000000,286000000,-101000000,10000000,,-184000000,-33000000,53000000,17.05,20000000,887000000,,,539000000,,-101000000,339000000,,,-0.94,0.29,-1.23,,9102000000,1364000000,-69000000,-31000000,2223000000,-381000000,,,17604000000,,1,,,-91000000,-38000000,-92000000,-38000000,828000000,-7915000000,,16.1,339000000,114000000,1000000,1000000,50000000,890000000,,4269000000,,-349000000,14375000000,2017-09-30,,-1234000000,486000000,17770000000,,0.236,2017-08-02,27076000000,-191000000,356000000,-266000000,1262000000,1793000000,23666000000,1912000000,-408000000,2251000000,3410000000,-500000000
1,2.012437810945274,-0.03888888888888886,-0.2897360703812317,6.521739130434781,-0.31248479294801135,FTR,564000000,-297000000,5034000000,362000000,-175000000,9000000,,0,-26000000,-5000000,8.86,20000000,879000000,,,505000000,,-53000000,367000000,,,-0.59,0.46,-1.05,,7024000000,1338000000,-2132000000,-1103000000,2063000000,-377000000,,,16970000000,,1,,,-37000000,-1029000000,-1082000000,-1029000000,819000000,-6813000000,,12.06,367000000,97000000,-47000000,-2000000,64000000,858000000,,3132000000,,-366000000,14377000000,2017-12-31,,-2263000000,457000000,17626000000,,0.438,2017-11-01,24884000000,-137000000,251000000,-289000000,1323000000,2508000000,22610000000,1850000000,-2499000000,2217000000,2274000000,-517000000
