,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
1,,,,,,AABA,,,,,,,,,,,,,,,,,,,,,,0.2,0.06,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-30,,,,,,0.42900002,,,,,,,,,,,,,
2,,,,,,AABA,,,,,,,,,,,,,,,,,,,,,,0.25,0.04,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,,,,,,0.19,,,,,,,,,,,,,
3,,,,,,AABA,,,,,,,,,,,,,,,,,,,,,,0.18,0.04,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-31,,,,,,0.286,,,,,,,,,,,,,
0,0.38121546961325947,0.015228426395939021,0.13688040018190084,0.008267795926597987,0.009752291442678302,AAL,1638000000,-1369000000,5918000000,340000000,-46000000,-190000000,,0,-923000000,-587000000,50.49,5000000,7481000000,538000000,,668000000,,-48000000,1344000000,,,1.42,0.02,1.4,,4091000000,3397000000,1004000000,380000000,2214000000,-266000000,1315000000,874000000,22217000000,,1,,,-177000000,624000000,624000000,624000000,1700000000,-2357000000,,49.02,1344000000,4063000000,-15000000,161000000,393000000,7546000000,,10929000000,1220000000,-5127000000,32031000000,2017-09-30,,3152000000,400000000,24684000000,5428000000,0.0139999995,2017-07-28,52401000000,-599000000,369000000,184000000,10002000000,15307000000,48453000000,9534000000,-340000000,10878000000,3948000000,-5127000000
1,0.2854623330813808,0.089007470651014,0.020399999999999974,0.1600727603456118,-0.04838844165630128,AAL,1688000000,-1408000000,5714000000,295000000,-45000000,-190000000,,367000000,62000000,-587000000,48.61,5000000,7570000000,427000000,,527000000,,-48000000,970000000,,,0.95,0.03,0.92,,4091000000,3031000000,425000000,167000000,2203000000,-266000000,1359000000,661000000,22511000000,,1,,,379000000,258000000,258000000,258000000,1752000000,-2368000000,,52.0,970000000,3017000000,-13000000,74000000,318000000,6769000000,,9995000000,1231000000,-5154000000,32939000000,2017-12-31,,3361000000,383000000,25065000000,4771000000,0.033,2017-10-26,51396000000,75000000,437000000,-557000000,9146000000,14964000000,47470000000,9631000000,-545000000,10601000000,3926000000,-5154000000
2,0.15250315523769453,0.041833048108005144,0.07473519027069453,0.08259237304880451,-0.03227283049033226,AAL,1953000000,-779000000,5279000000,297000000,2000000,,,0,1168000000,,53.05,5000000,7713000000,1581000000,,445000000,,-48000000,626000000,,,0.75,0.03,0.72,,4091000000,2688000000,273000000,87000000,2193000000,-265000000,1455000000,-223000000,21946000000,,1,,,-333000000,186000000,186000000,186000000,1809000000,-7302000000,,54.0,626000000,4221000000,1000000,24000000,294000000,8725000000,,15344000000,1261000000,-5172000000,33102000000,2018-03-31,,-1130000000,356000000,24739000000,4994000000,0.042,2018-01-25,53280000000,-841000000,1799000000,-956000000,9673000000,17008000000,54298000000,9775000000,-353000000,10401000000,-1018000000,-5172000000
3,-0.02917828792104693,-0.11100196463654222,-0.17411936484759993,-0.11239701843860328,-0.06576210550746728,AAL,2053000000,-952000000,4923000000,293000000,-95000000,,,0,54000000,,42.37,5000000,8289000000,1399000000,,463000000,,-46000000,1180000000,,,1.63,0.04,1.59,,4091000000,3354000000,769000000,203000000,2157000000,-266000000,1522000000,618000000,21863000000,,1,,,-660000000,566000000,566000000,566000000,1941000000,-7117000000,,43.49,1180000000,4166000000,-18000000,19000000,183000000,8703000000,,14959000000,1326000000,-5187000000,33032000000,2018-06-30,,-610000000,385000000,24076000000,4381000000,0.025,2018-04-26,52622000000,-1100000000,1084000000,-79000000,9176000000,16669000000,53491000000,10463000000,-411000000,11643000000,-869000000,-5187000000
0,6.986145069274653,0.5941109484301286,1.093356120487075,2.129671031619291,-0.41665102185917097,AAOI,50993000,-16004000,285600000,70930000,-4555000,731000,-14756000,-2863000,-2404000,1638000,64.6,19000,49507000,15167000,,5403000,,,18051000,,33000,1.08,0.06,1.02,,,39372000,17510000,-1865000,4838000,-248000,74552000,6000,37371000,,1,,,13611000,19375000,19375000,19375000,73029000,319604000,,75.0,18051000,22318000,-742000,-2369000,1072000,6870000,,,,6400000,181481000,2017-09-30,9190000,32423000,12131000,41009000,36000,0.059,2017-08-04,438704000,6320000,7614000,-18522000,230067000,76891000,114262000,70828000,-541000,88879000,324442000,6400000
1,0.6123404255319149,-0.372162386081193,-0.4384170742552246,-0.41680775742650455,0.14128693593436065,AAOI,43624000,-9659000,,83984000,-649000,6195000,-15761000,0,1632000,-7922000,43.64,333276000,47242000,12801000,,6964000,,,10779000,,1059000,0.89,0.06,0.83,,,32613000,9419000,3703000,4811000,-66000,75768000,36000,49000000,,1,,,15585000,5716000,5716000,5716000,65734000,328465000,,40.47,10779000,20533000,,3128000,1394000,7422000,,,,,197943000,2017-12-31,10670000,,11164000,49559000,,0.072,2017-11-08,452984000,14576000,-4064000,-12220000,229697000,70708000,119708000,69076000,-1360000,79855000,333276000,
2,-0.08038328453553378,-0.015388999715018725,-0.2329040852575489,-0.4298679867986799,-0.22785797527719556,AAOI,46223000,-9659000,286938000,82251000,-649000,6195000,-15761000,2599000,1632000,-7922000,27.51,20000,39403000,13935000,,6964000,,,2170000,,1059000,0.28,-0.05,0.33,,,25836000,1124000,-996000,10463000,-71000,92624000,36000,62464000,,1,,,15585000,2120000,2120000,2120000,53655000,332831000,,28.66,2170000,18685000,,3128000,2374000,9196000,,,,16078000,204644000,2018-03-31,11736000,40258000,11930000,65154000,,-0.152,2018-02-22,475617000,14576000,-4064000,-12220000,241825000,69859000,132323000,63069000,-1046000,65239000,343294000,16078000
3,-0.3878724516466283,0.38143924498623694,0.05116696588868952,-0.07112638815441563,-0.08522739358067297,AAOI,51429000,-21236000,288686000,76190000,-5356000,4987000,-5853000,5206000,4552000,4144000,32.26,20000,53959000,13151000,,7327000,,,8943000,,773000,0.64,0.19,0.45,,,33863000,10330000,2296000,10074000,-279000,93269000,,57868000,,1,,,-4122000,8034000,8034000,8034000,48668000,332557000,,31.64,8943000,19437000,,-1684000,2391000,2252000,,,,5633000,212105000,2018-06-30,12645000,48292000,12275000,61029000,,0.42200002,2018-05-09,472204000,-5272000,22143000,-23000000,230588000,71705000,129573000,78879000,1387000,87822000,342631000,5633000
